,Layer,Adrenogenital_syndrome nodes,Endometrial_carcinoma nodes,sAB
0,coex_KDN,35,47,0.40945214619319437
1,coex_BST,25,38,0.325096073517126
2,coex_OVR,31,36,0.31899641577060933
3,coex_LNG,29,38,0.4265299782541163
4,coex_ITI,31,43,0.32303684029115365
5,coex_VGN,27,36,0.270919492693686
6,coex_HRV,21,17,0.848529411764706
7,coex_MSG,33,39,0.300019425019425
8,coex_ADV,23,30,0.8008525149190111
9,coex_EMS,24,28,-0.1957417582417582
10,coex_SMU,25,36,0.2492076502732239
11,coex_ARG,31,31,0.2924731182795701
12,coex_TST,36,39,0.3254700854700856
13,coex_PIT,31,36,0.22545682287061597
14,coex_LVR,33,35,0.4414311179017061
15,coex_THY,26,33,0.5131578947368416
16,coex_PNC,29,34,0.4843604108309991
17,coex_ATC,30,33,0.5099567099567097
18,coex_BRO,30,34,0.16004901960784323
19,coex_SKN,30,39,0.3171125975473801
20,coex_ADS,27,30,0.6590038314176248
21,coex_GEJ,25,33,0.17488636363636356
22,coex_BRB,20,20,0.17500000000000027
23,coex_UTR,20,32,0.19080559855521173
24,coex_STM,32,38,0.428500939849624
25,coex_HRA,30,34,0.43326572008113606
26,coex_PRS,27,38,0.06641604010025048
27,coex_ATA,36,30,0.31111111111111134
28,coex_FIB,24,34,0.1346288515406162
29,coex_BRC,30,34,0.19656862745098058
30,coex_ATT,29,35,0.3650793650793651
31,coex_TNV,22,23,0.614235353365788
32,coex_SPL,25,31,0.2232488479262671
33,coex_LCL,22,28,0.17517006802721102
34,coex_CLS,26,42,0.47398190045248856
35,coex_EMC,31,33,0.15027322404371568
36,coex_CLT,31,41,0.3149532301774629
37,coex_core,33,44,0.43474025974025965
38,coex_WBL,30,32,0.42307556497175147
39,co-essential,7,17,0.6176470588235294
40,GOBP,35,17,0.6866666666666665
41,ppi,48,49,0.21485333824251351
42,reactome_copathway,23,26,1.402200956937799
43,MP,12,17,0.905128205128205
44,HP,32,23,0.5485585016835017
45,GI_net,19,27,0.09547226652489815
46,gene_gene_on_CbG_name_mapped,18,12,0.4555555555555557
47,gene_gene_on_GcG_name_mapped,30,34,0.013780224733571655
48,GOMF,9,4,
