,Layer,Adrenogenital_syndrome nodes,Pericarditis nodes,sAB
0,coex_KDN,35,33,0.3645403615991849
1,coex_BST,25,13,0.2417948717948719
2,coex_OVR,31,22,0.12313782991202382
3,coex_LNG,29,38,0.45607692758035245
4,coex_ITI,31,26,0.4008755760368663
5,coex_VGN,27,25,0.4054487179487176
6,coex_HRV,21,29,0.883784893267652
7,coex_MSG,33,28,0.25543786814278624
8,coex_ADV,23,28,0.5551242236024845
9,coex_EMS,24,23,0.18449352451433843
10,coex_SMU,25,21,0.7556521739130435
11,coex_ARG,31,19,0.24854980192416543
12,coex_TST,36,26,0.068307140887786
13,coex_PIT,31,27,0.20000912242291546
14,coex_LVR,33,32,0.44044957774465976
15,coex_THY,26,26,0.6538461538461537
16,coex_PNC,29,19,0.8355263157894737
17,coex_ATC,30,29,0.18739528540814332
18,coex_BRO,30,27,0.3051656920077974
19,coex_SKN,30,25,0.5875757575757574
20,coex_ADS,27,26,0.7903160780519269
21,coex_GEJ,25,19,0.1692230576441105
22,coex_BRB,20,22,0.30303030303030276
23,coex_UTR,20,19,0.12010796221322506
24,coex_STM,32,29,0.3912962832108535
25,coex_HRA,30,20,0.7318590704647674
26,coex_PRS,27,21,0.4712301587301586
27,coex_ATA,36,24,0.02777777777777768
28,coex_FIB,24,10,0.2262254901960783
29,coex_BRC,30,20,0.09833333333333316
30,coex_ATT,29,25,0.3807547169811323
31,coex_TNV,22,24,0.8327380952380952
32,coex_SPL,25,38,0.4702339181286552
33,coex_LCL,22,17,-0.050000000000000266
34,coex_CLS,26,21,0.423427636193594
35,coex_EMC,31,30,0.2678571428571428
36,coex_CLT,31,25,0.4097306755934267
37,coex_core,33,36,0.35695666340827636
38,coex_WBL,30,36,0.5630952380952383
39,co-essential,7,4,-0.20000000000000018
40,GOBP,35,19,2.2977190876350546
41,ppi,48,49,0.3907422505084508
42,reactome_copathway,23,21,1.378787878787879
43,MP,12,18,2.3553240740740744
44,HP,32,36,1.0681168300653594
45,GI_net,19,20,0.22251066856330004
46,gene_gene_on_CbG_name_mapped,18,7,0.4917460317460316
47,gene_gene_on_GcG_name_mapped,30,23,0.0027966785837847397
48,GOMF,9,9,
