,Layer,Adrenogenital_syndrome nodes,Premature_ovarian_insufficiency nodes,sAB
0,coex_KDN,35,37,0.1332689832689833
1,coex_BST,25,29,0.19279693486590022
2,coex_OVR,31,32,0.6290658602150536
3,coex_LNG,29,30,-0.0022988505747125743
4,coex_ITI,31,33,0.281524926686217
5,coex_VGN,27,35,0.02438070404172077
6,coex_HRV,21,12,0.6284482758620689
7,coex_MSG,33,30,0.04119769119769123
8,coex_ADV,23,27,0.26147342995169076
9,coex_EMS,24,25,0.01872448979591823
10,coex_SMU,25,28,0.24148148148148163
11,coex_ARG,31,29,0.17398299698077246
12,coex_TST,36,36,-0.01388888888888884
13,coex_PIT,31,30,0.2023183323592439
14,coex_LVR,33,31,0.2848484848484847
15,coex_THY,26,26,0.03862745098039211
16,coex_PNC,29,28,0.7174185463659146
17,coex_ATC,30,29,0.2733099551918956
18,coex_BRO,30,31,0.21666666666666679
19,coex_SKN,30,30,0.016666666666666607
20,coex_ADS,27,22,0.6537698412698414
21,coex_GEJ,25,31,-0.019402628434886715
22,coex_BRB,20,17,0.04213036565977735
23,coex_UTR,20,31,0.12857243916242234
24,coex_STM,32,27,0.19990779974890183
25,coex_HRA,30,27,0.2938992042440316
26,coex_PRS,27,26,0.15380583776810175
27,coex_ATA,36,22,0.6291763791763794
28,coex_FIB,24,29,0.18118358273693347
29,coex_BRC,30,32,0.015087365591397894
30,coex_ATT,29,20,0.08333333333333348
31,coex_TNV,22,20,0.5563909774436091
32,coex_SPL,25,27,0.01911680911680902
33,coex_LCL,22,27,0.29861111111111116
34,coex_CLS,26,30,0.01620879120879093
35,coex_EMC,31,32,0.2041666666666666
36,coex_CLT,31,33,0.19081221198156673
37,coex_core,33,34,0.3607954545454546
38,coex_WBL,30,29,0.2447454844006569
39,co-essential,7,12,0.17543859649122773
40,GOBP,35,24,0.5119047619047623
41,ppi,48,48,0.09375
42,reactome_copathway,23,17,1.2664772727272726
43,MP,12,17,0.37948717948717947
44,HP,32,24,0.3504464285714286
45,GI_net,19,21,0.14595141700404834
46,gene_gene_on_CbG_name_mapped,18,12,0.43055555555555536
47,gene_gene_on_GcG_name_mapped,30,23,0.1382481836005076
48,GOMF,9,7,0.6000000000000001
