,Layer,Allergic_rhinitis nodes,Narcolepsy nodes,sAB
0,coex_KDN,35,34,0.04411764705882337
1,coex_BST,20,25,0.3633333333333333
2,coex_OVR,23,25,0.3352173913043477
3,coex_LNG,32,27,0.43126177024482093
4,coex_ITI,25,31,0.31189135727328066
5,coex_VGN,22,30,0.1319347319347317
6,coex_HRV,22,13,0.13481518481518462
7,coex_MSG,32,26,0.18613229442970836
8,coex_ADV,23,24,0.4707832254085722
9,coex_EMS,24,27,0.8983494363929148
10,coex_SMU,21,25,0.31818181818181834
11,coex_ARG,17,27,0.15270350564468194
12,coex_TST,27,33,0.18922558922558919
13,coex_PIT,24,32,0.46279761904761907
14,coex_LVR,23,26,-0.15558664937546918
15,coex_THY,22,25,0.40157349896480365
16,coex_PNC,22,25,-0.19939393939393923
17,coex_ATC,27,27,0.12820512820512797
18,coex_BRO,25,37,0.34372495446265905
19,coex_SKN,28,27,0.591880341880342
20,coex_ADS,28,20,0.6992081266997281
21,coex_GEJ,28,25,1.3919413919413919
22,coex_BRB,17,26,0.7769187675070028
23,coex_UTR,20,25,0.29210526315789487
24,coex_STM,25,28,0.15142857142857147
25,coex_HRA,21,25,0.1504347826086958
26,coex_PRS,24,29,0.18699290060851936
27,coex_ATA,24,23,0.3371980676328503
28,coex_FIB,13,21,0.1674208144796383
29,coex_BRC,20,34,0.2938997821350764
30,coex_ATT,26,25,0.875952380952381
31,coex_TNV,21,13,0.875
32,coex_SPL,22,26,0.24169580419580416
33,coex_LCL,9,20,0.284252297410192
34,coex_CLS,24,33,0.46022727272727293
35,coex_EMC,23,25,0.19439071566731148
36,coex_CLT,26,28,0.21438775510204078
37,coex_core,31,31,0.5547682002467829
38,coex_WBL,20,25,0.40722222222222193
39,co-essential,4,13,0.348901098901099
40,GOBP,17,22,1.6017316017316015
41,ppi,48,48,0.2812500000000002
42,reactome_copathway,14,17,0.43465662126919713
43,MP,16,13,1.634326923076923
44,HP,13,18,0.4356217259443067
45,GI_net,13,21,0.004349816849816612
46,gene_gene_on_CbG_name_mapped,10,4,-0.05357142857142838
47,gene_gene_on_GcG_name_mapped,26,28,0.017450142450142536
48,GOMF,9,11,1.0
