,Layer,Ascites nodes,Erysipelas nodes,sAB
0,coex_KDN,43,46,-0.08257972529282798
1,coex_BST,33,22,0.1826298701298703
2,coex_OVR,28,34,0.5087797619047618
3,coex_LNG,29,37,0.03267530853737721
4,coex_ITI,35,42,-0.016839329967019978
5,coex_VGN,30,39,0.10388102609464855
6,coex_HRV,23,31,-0.008025557113916282
7,coex_MSG,38,41,-0.015424676232105528
8,coex_ADV,28,33,0.016632490316701
9,coex_EMS,35,27,0.215873015873016
10,coex_SMU,25,28,0.08149595687331534
11,coex_ARG,28,30,-0.03388860081237555
12,coex_TST,35,43,-0.048206831927762206
13,coex_PIT,33,37,0.04403651385927487
14,coex_LVR,31,41,0.06568537459568158
15,coex_THY,32,36,0.1759649848359528
16,coex_PNC,36,30,0.29896421845574395
17,coex_ATC,37,37,0.05405405405405417
18,coex_BRO,34,42,0.1282269664622604
19,coex_SKN,33,35,0.15716832187420415
20,coex_ADS,29,34,0.6836665700763063
21,coex_GEJ,28,36,0.05194497153700173
22,coex_BRB,25,31,0.0032735961768219912
23,coex_UTR,22,29,0.9035714285714289
24,coex_STM,34,37,-0.03626368705076222
25,coex_HRA,29,31,0.06401557285873194
26,coex_PRS,29,34,0.19670468526585339
27,coex_ATA,32,37,0.21260395010395006
28,coex_FIB,22,21,-0.1428571428571428
29,coex_BRC,29,31,0.1632554690396737
30,coex_ATT,32,39,0.048943381180223344
31,coex_TNV,24,37,0.593029350104822
32,coex_SPL,34,32,-0.003676470588235281
33,coex_LCL,25,21,-0.06385281385281383
34,coex_CLS,25,40,0.35350961538461556
35,coex_EMC,35,34,-0.13432835820895517
36,coex_CLT,34,40,-0.07148692810457513
37,coex_core,41,43,0.12398673147755912
38,coex_WBL,31,36,0.17954545454545467
39,co-essential,8,6,-0.6875
40,GOBP,19,21,0.3429887106357694
41,ppi,48,49,0.06114997545409917
42,reactome_copathway,15,24,0.29734848484848486
43,MP,14,15,-0.15961538461538494
44,HP,26,19,-0.022514619883041043
45,GI_net,17,21,-0.06769374416433216
46,gene_gene_on_CbG_name_mapped,6,14,0.1428571428571428
47,gene_gene_on_GcG_name_mapped,33,30,-0.2717893217893217
48,GOMF,11,8,
