,Layer,Ascites nodes,Keratitis nodes,sAB
0,coex_KDN,43,39,-0.1339136378841428
1,coex_BST,33,29,0.07657030070823145
2,coex_OVR,28,41,0.36313025210084016
3,coex_LNG,29,35,0.09133423484336278
4,coex_ITI,35,35,0.17067736185383242
5,coex_VGN,30,39,0.3291167787436442
6,coex_HRV,23,20,0.5034199363732768
7,coex_MSG,38,45,0.14307405058831812
8,coex_ADV,28,30,0.1478835978835984
9,coex_EMS,35,31,0.3831683916295232
10,coex_SMU,25,25,0.08000000000000007
11,coex_ARG,28,31,0.06278801843317972
12,coex_TST,35,35,0.042857142857142705
13,coex_PIT,33,37,-0.028587690951821454
14,coex_LVR,31,32,0.15854614695340485
15,coex_THY,32,24,0.23033323189287902
16,coex_PNC,36,32,0.4692460317460321
17,coex_ATC,37,30,0.25960736856259237
18,coex_BRO,34,35,0.30649644473173887
19,coex_SKN,33,37,0.1495144495144496
20,coex_ADS,29,31,1.4053236539624923
21,coex_GEJ,28,40,0.42532529659395335
22,coex_BRB,25,24,0.3460869565217388
23,coex_UTR,22,22,0.3555194805194808
24,coex_STM,34,33,-0.15107616995237683
25,coex_HRA,29,31,0.3531170855250343
26,coex_PRS,29,32,0.1358042196007263
27,coex_ATA,32,29,0.27484119782214167
28,coex_FIB,22,21,0.11904761904761907
29,coex_BRC,29,27,0.03614760080277302
30,coex_ATT,32,27,0.2889957264957266
31,coex_TNV,24,21,1.2644110275689222
32,coex_SPL,34,28,-0.00546218487394956
33,coex_LCL,25,21,0.06818181818181834
34,coex_CLS,25,30,0.23424242424242436
35,coex_EMC,35,34,0.29886877828054303
36,coex_CLT,34,33,0.1459553518377048
37,coex_core,41,43,0.5231968825275688
38,coex_WBL,31,30,0.11666666666666647
39,co-essential,8,6,0.2053571428571428
40,GOBP,19,20,1.6408668730650149
41,ppi,48,50,0.16134353741496588
42,reactome_copathway,15,20,0.6267056530214425
43,MP,14,16,1.5692307692307699
44,HP,26,33,0.6608885464817669
45,GI_net,17,25,0.10472689075630282
46,gene_gene_on_CbG_name_mapped,6,6,-2.220446049250313e-16
47,gene_gene_on_GcG_name_mapped,33,30,-0.10670995670995653
48,GOMF,11,2,
