,Layer,Atypical_absence_seizure nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,35,42,-0.195887445887446
1,coex_BST,27,34,0.05875420875420878
2,coex_OVR,30,35,-0.23080029072114994
3,coex_LNG,31,41,-0.05308593408514728
4,coex_ITI,31,39,-0.09365473236440991
5,coex_VGN,32,38,-0.11891447368421071
6,coex_HRV,21,14,0.019047619047618536
7,coex_MSG,33,37,-0.2716625716625716
8,coex_ADV,26,35,-0.08863267879661318
9,coex_EMS,25,36,-0.04444444444444451
10,coex_SMU,24,36,-0.23888888888888893
11,coex_ARG,31,38,-0.007533539731682248
12,coex_TST,36,45,-0.2842592592592592
13,coex_PIT,34,41,-0.1628790052606408
14,coex_LVR,24,34,-0.25777552400270465
15,coex_THY,32,34,-0.10845588235294112
16,coex_PNC,30,36,-0.28409090909090895
17,coex_ATC,28,38,-0.11070289359763019
18,coex_BRO,40,46,-0.2087014725568943
19,coex_SKN,32,36,-0.19761029411764697
20,coex_ADS,26,31,0.544735240413877
21,coex_GEJ,28,36,0.05912698412698414
22,coex_BRB,34,25,-0.010449320794148509
23,coex_UTR,21,33,-0.1428571428571428
24,coex_STM,33,38,-0.21227845542152424
25,coex_HRA,31,35,0.09513568868407574
26,coex_PRS,27,33,-0.10589225589225593
27,coex_ATA,29,36,-0.3190047735694992
28,coex_FIB,21,32,-0.08075022461814907
29,coex_BRC,39,40,-0.1385507951963647
30,coex_ATT,27,36,0.0886243386243386
31,coex_TNV,21,22,0.6247835497835501
32,coex_SPL,28,36,-0.2063492063492065
33,coex_LCL,11,25,-0.31465240641711234
34,coex_CLS,29,38,-0.23771568654007624
35,coex_EMC,28,36,-0.29092261904761907
36,coex_CLT,32,36,-0.106515522875817
37,coex_core,34,39,-0.02352197650457799
38,coex_WBL,20,30,-0.08687943262411357
39,co-essential,3,7,3.3476190476190473
40,GOBP,29,19,-0.2423076923076919
41,ppi,47,49,-0.25048802129547454
42,reactome_copathway,7,12,-0.17825311942959
43,MP,15,11,-0.18701298701298708
44,HP,24,27,0.020969498910675455
45,GI_net,14,16,-0.8821428571428571
46,gene_gene_on_CbG_name_mapped,14,8,0.04301948051948057
47,gene_gene_on_GcG_name_mapped,32,41,-0.25048308141532094
48,GOMF,6,8,
