,Layer,Benign_Neonatal_Epilepsy nodes,Atonic_seizure nodes,sAB
0,coex_KDN,29,38,0.16426614702476772
1,coex_BST,27,27,0.6048148148148149
2,coex_OVR,18,22,0.3272283272283274
3,coex_LNG,22,24,0.5050230566534917
4,coex_ITI,37,36,0.009070714550166503
5,coex_VGN,37,30,0.06993411321769516
6,coex_HRV,21,20,0.33841463414634143
7,coex_MSG,26,33,0.2666133301726523
8,coex_ADV,22,26,0.4474661508704063
9,coex_EMS,27,21,0.3918650793650791
10,coex_SMU,16,25,0.3015259197324416
11,coex_ARG,29,28,0.4821428571428572
12,coex_TST,35,35,0.12857142857142856
13,coex_PIT,31,38,0.13426329555361827
14,coex_LVR,15,28,0.21564230343300128
15,coex_THY,22,24,0.900009410878976
16,coex_PNC,31,25,0.1811751152073735
17,coex_ATC,24,29,0.41021470396877047
18,coex_BRO,43,38,-0.042295661634706994
19,coex_SKN,28,26,0.3998778998778998
20,coex_ADS,29,27,0.5070242656449553
21,coex_GEJ,29,29,0.3467643467643464
22,coex_BRB,38,31,0.10349769936763353
23,coex_UTR,17,14,0.6625000000000001
24,coex_STM,32,31,0.19354838709677424
25,coex_HRA,22,29,0.5992685475444095
26,coex_PRS,19,24,0.23102815177478586
27,coex_ATA,21,25,0.5027777777777782
28,coex_FIB,8,20,0.05892857142857144
29,coex_BRC,42,36,0.14451571463766588
30,coex_ATT,22,23,0.597510478210372
31,coex_TNV,30,22,0.5827272727272725
32,coex_SPL,12,24,0.29166666666666696
33,coex_LCL,4,21,0.5698757763975157
34,coex_CLS,36,30,0.3993055555555556
35,coex_EMC,20,21,0.4500000000000002
36,coex_CLT,33,34,-0.04136029411764719
37,coex_core,38,34,0.5916616124177283
38,coex_WBL,13,28,0.3965424819083361
39,co-essential,6,9,-0.4750000000000001
40,GOBP,26,17,0.05043859649122773
41,ppi,50,50,0.040000000000000036
42,reactome_copathway,13,18,0.8813131313131315
43,MP,14,12,-0.4507575757575757
44,HP,15,25,0.07333333333333325
45,GI_net,14,18,-0.11805555555555536
46,gene_gene_on_CbG_name_mapped,13,22,-0.07782217782217793
47,gene_gene_on_GcG_name_mapped,35,35,0.10000000000000009
48,GOMF,6,7,
