,Layer,Benign_Neonatal_Epilepsy nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,29,39,0.040333905445467444
1,coex_BST,27,29,0.4589034847655533
2,coex_OVR,18,30,0.18194444444444446
3,coex_LNG,22,25,0.17402321083172145
4,coex_ITI,37,42,0.20733753645146025
5,coex_VGN,37,37,0.24324324324324298
6,coex_HRV,21,28,0.04846938775510212
7,coex_MSG,26,40,0.1777972027972028
8,coex_ADV,22,29,0.8271252074497508
9,coex_EMS,27,31,0.15380116959064294
10,coex_SMU,16,21,0.14185167310167301
11,coex_ARG,29,28,0.12499999999999978
12,coex_TST,35,34,0.14460479844111562
13,coex_PIT,31,35,0.24205955334987572
14,coex_LVR,15,30,0.3055555555555556
15,coex_THY,22,32,0.6218974618149149
16,coex_PNC,31,26,0.16243306778111544
17,coex_ATC,24,33,0.41945773524720886
18,coex_BRO,43,35,0.16479257176931594
19,coex_SKN,28,34,0.31106442577030813
20,coex_ADS,29,28,0.2774251610458509
21,coex_GEJ,29,32,0.4866182204891878
22,coex_BRB,38,29,0.13322453070401163
23,coex_UTR,17,16,0.1875
24,coex_STM,32,38,0.517519253955365
25,coex_HRA,22,27,0.33963787535216117
26,coex_PRS,19,34,0.07424499094573278
27,coex_ATA,21,32,0.704009433962264
28,coex_FIB,8,17,-0.2708333333333335
29,coex_BRC,42,29,0.3168088429652769
30,coex_ATT,22,33,0.6077556022408963
31,coex_TNV,30,24,0.12777777777777777
32,coex_SPL,12,26,0.22840755735492557
33,coex_LCL,4,15,-0.007894736842105399
34,coex_CLS,36,39,0.16346153846153832
35,coex_EMC,20,34,0.39220983419096633
36,coex_CLT,33,38,0.0647556390977444
37,coex_core,38,38,0.5394736842105263
38,coex_WBL,13,18,0.31038047973531846
39,co-essential,6,3,-0.7666666666666666
40,GOBP,26,26,0.8297101449275361
41,ppi,50,45,0.1415204678362576
42,reactome_copathway,13,6,-0.3703208556149731
43,MP,14,17,0.30952380952380976
44,HP,15,18,0.3065656565656565
45,GI_net,14,11,-0.08818181818181836
46,gene_gene_on_CbG_name_mapped,13,9,0.1923076923076923
47,gene_gene_on_GcG_name_mapped,35,32,0.036120735607675813
48,GOMF,6,8,
