,Layer,Bladder_neoplasm nodes,Cervical_cancer nodes,sAB
0,coex_KDN,43,41,-0.09462938863467785
1,coex_BST,32,34,0.08862522281639906
2,coex_OVR,32,38,-0.02455033094658088
3,coex_LNG,41,39,-0.02564102564102555
4,coex_ITI,43,35,-0.11914132379248654
5,coex_VGN,35,37,-0.0989918489918491
6,coex_HRV,35,24,0.10188471940500321
7,coex_MSG,42,41,-0.11897765277136418
8,coex_ADV,29,26,-0.0662647697130454
9,coex_EMS,35,35,-0.24285714285714288
10,coex_SMU,31,32,-0.08135720686123915
11,coex_ARG,29,31,0.0824063774564332
12,coex_TST,40,38,-0.18117408906882604
13,coex_PIT,38,39,-0.10417214364582783
14,coex_LVR,41,36,-0.19347657762291903
15,coex_THY,34,35,-0.029411764705881804
16,coex_PNC,34,32,-0.24579434046345794
17,coex_ATC,33,37,-0.22048611111111138
18,coex_BRO,35,32,-0.023420842217483973
19,coex_SKN,33,41,-0.22176223688606744
20,coex_ADS,33,28,-0.23973635653963576
21,coex_GEJ,38,34,-0.055492733827448015
22,coex_BRB,29,20,-0.27261904761904776
23,coex_UTR,26,27,0.18475514701929807
24,coex_STM,41,39,-0.039172920575359704
25,coex_HRA,33,37,0.15777027027027013
26,coex_PRS,37,38,-0.2730324051520878
27,coex_ATA,30,34,0.046065552657844844
28,coex_FIB,31,39,-0.18817694518125538
29,coex_BRC,35,36,0.07165213503241685
30,coex_ATT,27,36,0.02249212775528564
31,coex_TNV,26,22,-0.19507575757575735
32,coex_SPL,30,36,-0.3571428571428572
33,coex_LCL,25,33,-0.2732683982683983
34,coex_CLS,35,36,-0.24692577953447525
35,coex_EMC,35,31,-0.11034155597722961
36,coex_CLT,34,33,-0.030303030303030276
37,coex_core,44,38,-0.07624868712801947
38,coex_WBL,38,35,-0.2816355958389123
39,co-essential,10,16,-0.32391304347826066
40,GOBP,8,11,0.6309523809523805
41,ppi,50,50,-0.09999999999999987
42,reactome_copathway,29,27,-0.10731481481481486
43,MP,10,7,-0.4516806722689073
44,HP,23,20,-0.23832153690596547
45,GI_net,28,28,-0.37002023031434805
46,gene_gene_on_CbG_name_mapped,16,15,-0.16915322580645142
47,gene_gene_on_GcG_name_mapped,28,31,-0.13562251034913686
48,GOMF,6,6,
