,Layer,Cataplexy_and_narcolepsy nodes,Chronic_pain nodes,sAB
0,coex_KDN,32,34,0.021975267379679142
1,coex_BST,21,22,-0.07142857142857117
2,coex_OVR,20,28,0.012577639751552905
3,coex_LNG,22,24,-0.2437856829161178
4,coex_ITI,28,30,0.3613300492610838
5,coex_VGN,26,32,0.048449933687002567
6,coex_HRV,16,23,0.17074275362318803
7,coex_MSG,28,32,-0.1635416666666667
8,coex_ADV,19,24,0.3729674796747964
9,coex_EMS,22,27,0.16609155739590475
10,coex_SMU,19,27,0.008219449395920009
11,coex_ARG,18,26,0.4900793650793649
12,coex_TST,24,35,-0.2378228410008072
13,coex_PIT,24,35,0.1328947368421054
14,coex_LVR,19,27,-0.04089329604203762
15,coex_THY,16,27,0.2835978835978836
16,coex_PNC,17,26,0.18549019607843098
17,coex_ATC,21,26,0.0910879900241599
18,coex_BRO,30,35,0.3023809523809522
19,coex_SKN,20,29,0.24062280084447574
20,coex_ADS,18,20,0.0855263157894739
21,coex_GEJ,25,26,0.5440584260460035
22,coex_BRB,25,24,0.14363945578231263
23,coex_UTR,13,20,0.23438228438228448
24,coex_STM,26,29,0.14064611380811787
25,coex_HRA,20,22,0.15029137529137548
26,coex_PRS,23,29,0.06989505247376293
27,coex_ATA,18,26,0.6078343680942861
28,coex_FIB,13,19,0.32072368421052655
29,coex_BRC,25,30,-0.07636363636363663
30,coex_ATT,19,25,0.17782945736434108
31,coex_TNV,16,18,0.74040404040404
32,coex_SPL,19,23,0.2864770622207695
33,coex_LCL,11,13,-0.6891025641025643
34,coex_CLS,30,23,0.32170453234921004
35,coex_EMC,16,24,0.1166666666666667
36,coex_CLT,26,29,0.2647765377108253
37,coex_core,30,30,0.3620689655172411
38,coex_WBL,21,24,0.31884920634920677
39,co-essential,8,4,-0.2916666666666665
40,GOBP,25,19,0.3802685066324347
41,ppi,49,50,0.15062049062049043
42,reactome_copathway,17,12,0.8800054112554108
43,MP,20,20,1.522549019607843
44,HP,20,17,0.5656597774244831
45,GI_net,11,11,-0.13636363636363624
46,gene_gene_on_CbG_name_mapped,7,15,0.7952380952380953
47,gene_gene_on_GcG_name_mapped,27,30,0.07417153996101344
48,GOMF,10,4,
