,Layer,Cholecystitis nodes,Diarrhea nodes,sAB
0,coex_KDN,37,36,0.04039141881607655
1,coex_BST,37,19,0.016561674456411435
2,coex_OVR,33,24,0.46640749601275955
3,coex_LNG,37,30,0.6305741478155271
4,coex_ITI,39,37,0.2873308531203269
5,coex_VGN,33,22,0.15894797026872487
6,coex_HRV,22,21,0.5770562770562773
7,coex_MSG,40,35,0.05499999999999994
8,coex_ADV,29,26,0.6964793826862792
9,coex_EMS,30,23,0.2293956795187313
10,coex_SMU,31,19,0.027640067911714805
11,coex_ARG,28,18,0.1914332399626515
12,coex_TST,36,28,-0.0870535714285714
13,coex_PIT,36,31,0.15584677419354853
14,coex_LVR,42,28,0.2619047619047621
15,coex_THY,32,20,0.5098557692307693
16,coex_PNC,36,28,0.2379391100702577
17,coex_ATC,34,24,0.1710734798970095
18,coex_BRO,37,26,0.18071981186735275
19,coex_SKN,36,22,0.2638018112156044
20,coex_ADS,29,20,0.48911070780399246
21,coex_GEJ,34,28,0.6282913165266106
22,coex_BRB,23,22,0.2637869376999813
23,coex_UTR,26,15,0.45315211104684794
24,coex_STM,34,31,0.1415705736388848
25,coex_HRA,36,22,0.6273809523809526
26,coex_PRS,36,24,0.07319476226798871
27,coex_ATA,34,20,0.2633889919604204
28,coex_FIB,29,19,0.04202310609401194
29,coex_BRC,34,23,0.37660968277471163
30,coex_ATT,34,20,0.25040849673202636
31,coex_TNV,23,15,0.3606879606879603
32,coex_SPL,34,24,0.18264029749830968
33,coex_LCL,23,14,0.09025032938076372
34,coex_CLS,37,25,0.5160244115082826
35,coex_EMC,36,27,0.17106860959319947
36,coex_CLT,36,30,0.2122900088417332
37,coex_core,37,32,0.35024873070413864
38,coex_WBL,33,26,0.3454127481713689
39,co-essential,12,7,0.39583333333333304
40,GOBP,24,21,0.6249562376006539
41,ppi,49,49,0.05102040816326503
42,reactome_copathway,16,18,0.26571428571428557
43,MP,17,19,-0.30858585858585874
44,HP,23,23,0.5
45,GI_net,22,13,-0.23184658478776132
46,gene_gene_on_CbG_name_mapped,14,7,-0.13095238095238093
47,gene_gene_on_GcG_name_mapped,31,26,0.050944669365722284
48,GOMF,9,8,1.6666666666666667
