,Layer,Chorea nodes,Celiac_disease nodes,sAB
0,coex_KDN,42,30,0.27380952380952395
1,coex_BST,40,15,0.7796218487394957
2,coex_OVR,37,19,-0.12357357357357346
3,coex_LNG,40,29,0.4975840336134456
4,coex_ITI,45,29,0.6558662110386246
5,coex_VGN,41,21,0.37763665655089707
6,coex_HRV,19,16,0.15015479876160986
7,coex_MSG,44,26,0.07649850149850135
8,coex_ADV,33,14,0.37632403057935004
9,coex_EMS,40,14,0.6244708994708992
10,coex_SMU,37,17,0.6425950837715542
11,coex_ARG,38,12,0.5175438596491226
12,coex_TST,47,23,0.37892163340822016
13,coex_PIT,45,21,0.2533910533910535
14,coex_LVR,33,19,0.23144399460188914
15,coex_THY,37,21,0.7349624060150375
16,coex_PNC,36,25,0.6238026819923372
17,coex_ATC,38,22,0.14649122807017534
18,coex_BRO,42,24,0.12662337662337686
19,coex_SKN,41,21,0.12309392679180231
20,coex_ADS,33,20,0.8690166975881262
21,coex_GEJ,44,17,0.5775514365992933
22,coex_BRB,26,19,-0.16581196581196544
23,coex_UTR,31,10,0.3783241542092841
24,coex_STM,43,25,0.380437756497948
25,coex_HRA,40,18,0.1607142857142856
26,coex_PRS,39,18,0.11756326462208788
27,coex_ATA,36,26,0.41994072236007707
28,coex_FIB,27,13,0.20733618233618234
29,coex_BRC,44,20,-0.09431818181818219
30,coex_ATT,39,20,0.5485006518904822
31,coex_TNV,21,18,0.4510939510939509
32,coex_SPL,35,28,0.1884621949138081
33,coex_LCL,26,14,0.13099099099099076
34,coex_CLS,39,17,0.43010665804783477
35,coex_EMC,39,27,0.3849715099715101
36,coex_CLT,42,21,0.5663210445468512
37,coex_core,43,34,0.510278917768658
38,coex_WBL,35,29,0.22536945812807896
39,co-essential,13,4,-0.0237556561085972
40,GOBP,23,20,1.253947368421052
41,ppi,50,50,0.25
42,reactome_copathway,16,17,1.1641025641025644
43,MP,17,22,1.8856160287081343
44,HP,26,17,1.0107597600757656
45,GI_net,21,13,-0.053113553113552925
46,gene_gene_on_CbG_name_mapped,8,8,0.4375
47,gene_gene_on_GcG_name_mapped,38,30,0.17647058823529416
48,GOMF,3,13,
