,Layer,Chorea nodes,Cholecystitis nodes,sAB
0,coex_KDN,42,37,0.18511640030627374
1,coex_BST,40,37,0.14391891891891895
2,coex_OVR,37,33,0.21358371358371353
3,coex_LNG,40,37,0.08554317304317327
4,coex_ITI,45,39,0.2443833943833944
5,coex_VGN,41,33,0.2834749938408476
6,coex_HRV,19,22,-0.22864394911891717
7,coex_MSG,44,40,-0.07121212121212128
8,coex_ADV,33,29,0.23305356119594167
9,coex_EMS,40,30,0.41547619047619033
10,coex_SMU,37,31,0.09938971229293792
11,coex_ARG,38,28,0.3449248120300752
12,coex_TST,47,36,0.1318251730325557
13,coex_PIT,45,36,0.017094017094017033
14,coex_LVR,33,42,0.0904761904761906
15,coex_THY,37,32,0.11366421568627416
16,coex_PNC,36,36,-0.027241225128548763
17,coex_ATC,38,34,0.15979655019902683
18,coex_BRO,42,37,0.031736281736281846
19,coex_SKN,41,36,0.07768011121669649
20,coex_ADS,33,29,0.49843260188087735
21,coex_GEJ,44,34,0.5584802717155657
22,coex_BRB,26,23,0.11872909698996637
23,coex_UTR,31,26,0.09710069217709272
24,coex_STM,43,34,0.07531934549718411
25,coex_HRA,40,36,0.21547619047619038
26,coex_PRS,39,36,0.23260683760683754
27,coex_ATA,36,34,0.12971129202472476
28,coex_FIB,27,29,0.3257617223134466
29,coex_BRC,44,34,-0.028914712738242088
30,coex_ATT,39,34,0.18571155439423848
31,coex_TNV,21,23,-0.1211114466928418
32,coex_SPL,35,34,-0.07178784557301165
33,coex_LCL,26,23,0.07115942028985511
34,coex_CLS,39,37,0.19438669438669454
35,coex_EMC,39,36,0.25515162158997784
36,coex_CLT,42,36,0.18681318681318682
37,coex_core,43,37,0.19224544311753622
38,coex_WBL,35,33,-0.08095238095238089
39,co-essential,13,12,0.15900222965440358
40,GOBP,23,24,0.7557359307359306
41,ppi,50,49,0.2522593279736136
42,reactome_copathway,16,16,0.5
43,MP,17,17,0.9098790322580648
44,HP,26,23,0.4894375810524878
45,GI_net,21,22,0.2142857142857142
46,gene_gene_on_CbG_name_mapped,8,14,0.2857142857142856
47,gene_gene_on_GcG_name_mapped,38,31,0.032608695652173836
48,GOMF,3,9,
