,Layer,Chorea nodes,Encephalitis nodes,sAB
0,coex_KDN,42,39,0.2659747659747662
1,coex_BST,40,18,0.27583857442348014
2,coex_OVR,37,23,0.2348805327066199
3,coex_LNG,40,38,0.46276990553306385
4,coex_ITI,45,32,0.41617514430014424
5,coex_VGN,41,29,0.41495854860026427
6,coex_HRV,19,25,0.17177944862155403
7,coex_MSG,44,34,0.09013780337309751
8,coex_ADV,33,27,0.2468013468013468
9,coex_EMS,40,24,0.44860248447204976
10,coex_SMU,37,26,0.17024717024716995
11,coex_ARG,38,23,0.3969689012266946
12,coex_TST,47,26,0.05010313207631767
13,coex_PIT,45,35,0.20019841269841265
14,coex_LVR,33,28,0.18891491022638562
15,coex_THY,37,30,0.7008399646330679
16,coex_PNC,36,26,0.22118830989798743
17,coex_ATC,38,35,0.2084612215470183
18,coex_BRO,42,34,0.20418693793306808
19,coex_SKN,41,26,0.1368905939346421
20,coex_ADS,33,29,0.4984326018808778
21,coex_GEJ,44,26,0.7918531468531467
22,coex_BRB,26,31,0.3148657793819085
23,coex_UTR,31,22,0.005924950625411096
24,coex_STM,43,33,0.3956455621082302
25,coex_HRA,40,19,0.15711418376449626
26,coex_PRS,39,27,0.5692307692307694
27,coex_ATA,36,29,0.2703728264073093
28,coex_FIB,27,19,0.31646749724552925
29,coex_BRC,44,25,0.17999341238471667
30,coex_ATT,39,29,0.54579497581526
31,coex_TNV,21,20,0.34991289198606257
32,coex_SPL,35,30,0.14597069597069634
33,coex_LCL,26,27,0.09999999999999987
34,coex_CLS,39,27,0.276741776741777
35,coex_EMC,39,36,0.24078804078804072
36,coex_CLT,42,27,0.2960662525879916
37,coex_core,43,39,0.3841979725700657
38,coex_WBL,35,36,0.16421670117322273
39,co-essential,13,11,2.325174825174825
40,GOBP,23,16,0.7229166666666664
41,ppi,50,50,0.28
42,reactome_copathway,16,21,0.8105263157894738
43,MP,17,18,1.9342134581105173
44,HP,26,23,0.6908572793665964
45,GI_net,21,25,0.43859213250517604
46,gene_gene_on_CbG_name_mapped,8,10,0.1611111111111112
47,gene_gene_on_GcG_name_mapped,38,32,0.01383928571428572
48,GOMF,3,5,
