,Layer,Chorea nodes,Hereditary_factor_IX_deficiency_disease nodes,sAB
0,coex_KDN,42,40,0.17167537746806039
1,coex_BST,40,30,0.2819651741293534
2,coex_OVR,37,26,0.27563277563277566
3,coex_LNG,40,34,0.1771326276463263
4,coex_ITI,45,32,0.21629689754689752
5,coex_VGN,41,30,0.3702645310035191
6,coex_HRV,19,16,-0.1656015037593983
7,coex_MSG,44,34,0.1855375017139722
8,coex_ADV,33,30,0.1416927899686522
9,coex_EMS,40,24,0.4437500000000001
10,coex_SMU,37,21,0.25167532064083753
11,coex_ARG,38,24,0.3112266553480474
12,coex_TST,47,30,0.09536243897946028
13,coex_PIT,45,34,0.0840505899329429
14,coex_LVR,33,39,0.5769230769230766
15,coex_THY,37,28,0.2912871888281723
16,coex_PNC,36,29,0.17770409666961395
17,coex_ATC,38,31,0.10993208828522927
18,coex_BRO,42,27,0.2272565742714998
19,coex_SKN,41,32,0.13793522446094042
20,coex_ADS,33,21,0.42309833024118726
21,coex_GEJ,44,29,0.43563789152024457
22,coex_BRB,26,14,0.030219780219780112
23,coex_UTR,31,22,0.04657500138327908
24,coex_STM,43,33,0.1615945254256148
25,coex_HRA,40,30,0.008084577114427782
26,coex_PRS,39,28,0.30941446613088397
27,coex_ATA,36,27,0.4143162393162392
28,coex_FIB,27,26,0.26325055098640004
29,coex_BRC,44,29,0.21880105081902057
30,coex_ATT,39,29,0.30204517704517686
31,coex_TNV,21,14,0.4798534798534795
32,coex_SPL,35,38,0.3488721804511279
33,coex_LCL,26,22,0.07326885880077394
34,coex_CLS,39,36,0.41621297271982205
35,coex_EMC,39,31,0.13970975261297847
36,coex_CLT,42,34,0.2551231018723279
37,coex_core,43,34,0.18026481652423354
38,coex_WBL,35,35,0.40252100840336147
39,co-essential,13,8,0.16391941391941423
40,GOBP,23,30,0.7838509316770184
41,ppi,50,49,0.2119583591012162
42,reactome_copathway,16,17,0.8009049773755654
43,MP,17,16,0.9151785714285712
44,HP,26,18,0.33644133644133634
45,GI_net,21,16,0.15049871299871276
46,gene_gene_on_CbG_name_mapped,8,12,0.18333333333333357
47,gene_gene_on_GcG_name_mapped,38,32,0.1343749999999999
48,GOMF,3,7,
