,Layer,Chorea nodes,Mastocytosis nodes,sAB
0,coex_KDN,42,42,0.16434378629500568
1,coex_BST,40,22,0.030821371610845194
2,coex_OVR,37,29,0.10528396735293288
3,coex_LNG,40,33,0.5665058115400581
4,coex_ITI,45,33,0.20763888888888893
5,coex_VGN,41,33,0.27020035556620936
6,coex_HRV,19,22,0.7469658069786438
7,coex_MSG,44,33,0.005952380952380709
8,coex_ADV,33,26,0.23861167081506052
9,coex_EMS,40,35,1.0202380952380952
10,coex_SMU,37,20,0.26192508297771466
11,coex_ARG,38,27,0.2995951417004048
12,coex_TST,47,31,0.06383858648786589
13,coex_PIT,45,29,0.11948845397121244
14,coex_LVR,33,27,0.02777777777777768
15,coex_THY,37,22,0.3701671891327063
16,coex_PNC,36,23,0.09884958650618225
17,coex_ATC,38,32,0.22910938727415564
18,coex_BRO,42,32,0.17014559202059187
19,coex_SKN,41,33,0.22140987994646544
20,coex_ADS,33,30,1.0337320574162678
21,coex_GEJ,44,33,1.5474242424242424
22,coex_BRB,26,25,0.2905769230769233
23,coex_UTR,31,24,0.1429406264609634
24,coex_STM,43,29,0.17572173215717735
25,coex_HRA,40,21,0.34166666666666656
26,coex_PRS,39,26,0.28076923076923066
27,coex_ATA,36,28,0.19444444444444464
28,coex_FIB,27,16,-0.06559539190353147
29,coex_BRC,44,23,-0.023073859949265696
30,coex_ATT,39,29,0.7324075518801687
31,coex_TNV,21,24,0.8869047619047619
32,coex_SPL,35,27,0.017016555726233173
33,coex_LCL,26,20,0.06222222222222218
34,coex_CLS,39,29,0.4550631923857078
35,coex_EMC,39,28,0.10943223443223449
36,coex_CLT,42,35,0.3251381633734576
37,coex_core,43,36,0.5037533117456581
38,coex_WBL,35,32,0.16528159340659365
39,co-essential,13,8,1.613324175824176
40,GOBP,23,13,0.1111305361305357
41,ppi,50,48,0.33776360544217665
42,reactome_copathway,16,20,0.7701612903225805
43,MP,17,9,2.548295454545454
44,HP,26,18,0.9425019425019423
45,GI_net,21,22,0.21038457666364652
46,gene_gene_on_CbG_name_mapped,8,14,0.1461038961038963
47,gene_gene_on_GcG_name_mapped,38,26,0.06129807692307687
48,GOMF,3,6,
