,Layer,Colon_cancer nodes,Carcinoma_of_pancreas nodes,sAB
0,coex_KDN,45,46,-0.04511418533157663
1,coex_BST,32,37,0.2096491872307089
2,coex_OVR,28,41,-0.19949253414102786
3,coex_LNG,41,43,-0.02690894849147818
4,coex_ITI,41,46,-0.10955802586511632
5,coex_VGN,39,42,-0.169006919006919
6,coex_HRV,28,19,-0.2600314889788573
7,coex_MSG,42,45,0.09813902572523259
8,coex_ADV,25,38,-0.0414703425229741
9,coex_EMS,33,39,-0.0679904749006861
10,coex_SMU,28,38,-0.05223285486443374
11,coex_ARG,31,36,0.13156565656565666
12,coex_TST,41,45,-0.0009075439591603729
13,coex_PIT,37,40,-0.003909266409266587
14,coex_LVR,40,41,-0.11213866305329723
15,coex_THY,37,35,0.1687258687258688
16,coex_PNC,34,40,0.08760896637608973
17,coex_ATC,33,43,-0.042907773176170894
18,coex_BRO,35,39,-0.023324423324423416
19,coex_SKN,37,44,0.05795454545454537
20,coex_ADS,32,24,-0.07366071428571441
21,coex_GEJ,35,38,0.041533758639021645
22,coex_BRB,30,14,-0.12380952380952381
23,coex_UTR,28,35,0.09563492063492074
24,coex_STM,40,45,0.06372549019607843
25,coex_HRA,33,36,0.16798418972332008
26,coex_PRS,30,41,-0.16939768693461565
27,coex_ATA,35,33,0.2164502164502169
28,coex_FIB,33,39,-0.06683963429701012
29,coex_BRC,36,38,-0.010174648332543335
30,coex_ATT,31,36,0.12601126472094215
31,coex_TNV,27,21,0.15896020243846332
32,coex_SPL,34,42,-0.18579537077989117
33,coex_LCL,29,36,-0.06431878306878303
34,coex_CLS,41,42,0.029667919799498677
35,coex_EMC,37,42,-0.016499582289055903
36,coex_CLT,36,44,0.08621157323688977
37,coex_core,42,45,0.06551724137931036
38,coex_WBL,42,40,0.00018873403019736834
39,co-essential,17,22,-0.2574404761904763
40,GOBP,9,12,1.0595238095238093
41,ppi,50,50,-0.010000000000000009
42,reactome_copathway,35,31,0.021515804597701083
43,MP,15,15,1.3261904761904768
44,HP,22,22,-0.18181818181818188
45,GI_net,26,37,-0.22539847539847546
46,gene_gene_on_CbG_name_mapped,18,8,0.204059829059829
47,gene_gene_on_GcG_name_mapped,33,43,-0.11837468936612128
48,GOMF,4,3,
