,Layer,Colonic_neoplasm nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,45,48,-0.27145092226613987
1,coex_BST,32,45,-0.08134469696969693
2,coex_OVR,29,45,-0.012317895194607686
3,coex_LNG,41,47,-0.043732603670330716
4,coex_ITI,41,47,-0.11733382082370136
5,coex_VGN,39,47,-0.17351780662023097
6,coex_HRV,28,16,0.5864448051948052
7,coex_MSG,41,48,-0.18956677628574026
8,coex_ADV,27,42,0.18035426731078896
9,coex_EMS,31,44,-0.12229729729729732
10,coex_SMU,30,42,-0.09642857142857153
11,coex_ARG,34,44,0.011904761904761862
12,coex_TST,44,48,-0.058753293807641604
13,coex_PIT,38,45,0.1819946452476573
14,coex_LVR,42,44,-0.03741316822712171
15,coex_THY,37,35,-0.13050193050193037
16,coex_PNC,36,44,-0.3343827059016933
17,coex_ATC,36,44,0.05489853283970936
18,coex_BRO,35,42,0.06645021645021654
19,coex_SKN,36,47,-0.03701534583734878
20,coex_ADS,32,31,0.2401881720430108
21,coex_GEJ,35,43,-0.21817625458996326
22,coex_BRB,30,17,-0.12932832707551123
23,coex_UTR,26,43,-0.12121153197998491
24,coex_STM,41,47,-0.023523375949426883
25,coex_HRA,33,42,0.1645021645021647
26,coex_PRS,30,45,-0.07777777777777772
27,coex_ATA,36,40,0.029914529914530252
28,coex_FIB,34,46,-0.33113810741688
29,coex_BRC,37,45,-0.03391196074122882
30,coex_ATT,31,40,0.21489563567362424
31,coex_TNV,27,11,0.864433811802233
32,coex_SPL,33,46,-0.3098347259051717
33,coex_LCL,30,38,-0.14171793119161546
34,coex_CLS,41,46,0.007655007082924659
35,coex_EMC,36,45,-0.2996031746031744
36,coex_CLT,37,48,-0.18106368563685638
37,coex_core,43,48,0.16594790868046672
38,coex_WBL,42,43,-0.2593511823333985
39,co-essential,22,25,-0.4789597994794177
40,GOBP,7,18,0.8935758513931891
41,ppi,50,49,-0.13144300144300147
42,reactome_copathway,35,25,-0.1638078902229847
43,MP,13,20,-0.4194444444444443
44,HP,21,30,-0.42801120448179275
45,GI_net,31,35,-0.2115067727970954
46,gene_gene_on_CbG_name_mapped,19,15,-0.1495356037151705
47,gene_gene_on_GcG_name_mapped,33,40,-0.3194634703196346
48,GOMF,2,6,
