,Layer,Deep_venous_thrombosis nodes,Peripheral_vascular_disease nodes,sAB
0,coex_KDN,36,35,-0.2401967359713837
1,coex_BST,20,22,-0.17995098611273175
2,coex_OVR,24,18,0.009445241511238933
3,coex_LNG,29,28,-0.3603689414034239
4,coex_ITI,26,33,0.09983801509225243
5,coex_VGN,28,27,-0.17597883597883612
6,coex_HRV,23,23,-0.6413273278794007
7,coex_MSG,33,32,-0.015741550116550096
8,coex_ADV,18,29,0.011717009712198134
9,coex_EMS,24,15,-0.07692307692307665
10,coex_SMU,25,18,-0.14263305322128872
11,coex_ARG,20,15,-0.11200414830178929
12,coex_TST,29,22,-0.23859794701579684
13,coex_PIT,31,28,-0.051784737952042414
14,coex_LVR,42,45,-0.1503734827264238
15,coex_THY,24,21,-0.7133057935536518
16,coex_PNC,29,29,-0.01724137931034475
17,coex_ATC,25,23,-0.04390225100215872
18,coex_BRO,27,19,-0.09229595728451567
19,coex_SKN,27,27,-0.11037037037037045
20,coex_ADS,27,22,0.35761874059746424
21,coex_GEJ,23,30,0.17016491754122942
22,coex_BRB,16,17,-0.30319741532976785
23,coex_UTR,13,6,0.5139517345399698
24,coex_STM,32,27,-0.3012790332705586
25,coex_HRA,22,27,0.18549280177187155
26,coex_PRS,26,22,-0.1238978412891456
27,coex_ATA,28,31,-0.03214285714285747
28,coex_FIB,19,15,-0.0962848297213621
29,coex_BRC,24,19,-0.11328626444159218
30,coex_ATT,30,24,-0.4637681159420288
31,coex_TNV,24,24,0.22307861220904712
32,coex_SPL,38,30,-0.10696594427244577
33,coex_LCL,11,11,-0.09848484848484818
34,coex_CLS,26,29,0.3681962864721484
35,coex_EMC,31,23,-0.31884057971014523
36,coex_CLT,28,24,-0.0023291925465835916
37,coex_core,30,36,0.08835161183117313
38,coex_WBL,27,30,-0.1357699805068222
39,co-essential,7,8,-0.7857142857142851
40,GOBP,24,13,0.2492094861660079
41,ppi,49,50,-0.2115646258503403
42,reactome_copathway,24,23,-0.005928853754940899
43,MP,10,19,0.7576923076923077
44,HP,28,19,-0.16566416040100274
45,GI_net,16,13,-0.7132034632034632
46,gene_gene_on_CbG_name_mapped,23,20,0.06559656218402443
47,gene_gene_on_GcG_name_mapped,34,28,-0.42392924911900254
48,GOMF,6,2,
