,Layer,Eczematoid_dermatitis nodes,Hepatic_encephalopathy nodes,sAB
0,coex_KDN,45,42,0.08954570333880674
1,coex_BST,18,22,0.15031897926634752
2,coex_OVR,32,23,0.1416107203751067
3,coex_LNG,42,29,0.3591896204815095
4,coex_ITI,36,33,0.03883989145183153
5,coex_VGN,38,23,0.1604716844991445
6,coex_HRV,26,20,0.7389860139860138
7,coex_MSG,39,28,0.20174539390957302
8,coex_ADV,28,33,0.357804232804233
9,coex_EMS,33,25,0.3165935214211073
10,coex_SMU,33,23,0.17614871541501986
11,coex_ARG,32,25,0.1152870764861027
12,coex_TST,36,27,-0.08267195767195767
13,coex_PIT,34,30,0.08792892156862742
14,coex_LVR,32,31,0.03233006912442371
15,coex_THY,35,25,0.33087167070217927
16,coex_PNC,30,23,0.09347826086956523
17,coex_ATC,35,25,0.19287138584247265
18,coex_BRO,31,30,0.1459721487748986
19,coex_SKN,37,27,0.2105841655021985
20,coex_ADS,35,23,0.4362390233454705
21,coex_GEJ,37,27,0.753873873873874
22,coex_BRB,27,24,0.5154347826086956
23,coex_UTR,20,18,0.3235294117647056
24,coex_STM,32,27,0.15373048242903664
25,coex_HRA,23,30,0.23472049689440988
26,coex_PRS,31,19,0.8039215686274512
27,coex_ATA,34,22,0.26000571755288737
28,coex_FIB,14,20,-0.11974789915966433
29,coex_BRC,21,29,0.3154761904761907
30,coex_ATT,36,24,0.17792145593869746
31,coex_TNV,27,21,0.34625258799171865
32,coex_SPL,38,34,0.19053147574819396
33,coex_LCL,21,15,-0.034523809523809845
34,coex_CLS,29,28,0.17332603539500102
35,coex_EMC,41,22,-0.008763594129447938
36,coex_CLT,34,27,0.27376447655085445
37,coex_core,44,36,0.16409090909090907
38,coex_WBL,39,31,0.32741344676828565
39,co-essential,4,7,0.19155844155844148
40,GOBP,13,18,0.6880341880341874
41,ppi,50,49,0.10127808699237284
42,reactome_copathway,23,23,0.94004329004329
43,MP,13,15,1.654761904761905
44,HP,26,27,0.3077863785410955
45,GI_net,22,23,-0.01461531390752846
46,gene_gene_on_CbG_name_mapped,10,31,0.44197482297403634
47,gene_gene_on_GcG_name_mapped,26,31,-0.14521570676069806
48,GOMF,9,9,
