,Layer,Eczematoid_dermatitis nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,45,31,0.17544802867383535
1,coex_BST,18,21,0.20701754385964888
2,coex_OVR,32,24,0.34747023809523836
3,coex_LNG,42,25,0.4878464818763324
4,coex_ITI,36,27,0.4562082574377655
5,coex_VGN,38,28,0.3295242246855148
6,coex_HRV,26,40,1.983304195804196
7,coex_MSG,39,44,0.4794878815963155
8,coex_ADV,28,20,0.6642857142857141
9,coex_EMS,33,34,1.0056446821152702
10,coex_SMU,33,36,1.0274714052287583
11,coex_ARG,32,21,0.7232225148123765
12,coex_TST,36,30,-0.0032828282828281097
13,coex_PIT,34,26,0.16108597285067883
14,coex_LVR,32,18,0.22951388888888902
15,coex_THY,35,31,1.0417095870606305
16,coex_PNC,30,16,0.07222222222222241
17,coex_ATC,35,38,1.073486412108703
18,coex_BRO,31,27,0.4329913896098545
19,coex_SKN,37,24,0.4711453256535223
20,coex_ADS,35,21,1.056168831168831
21,coex_GEJ,37,24,1.2012548262548262
22,coex_BRB,27,21,0.6016149068322982
23,coex_UTR,20,22,0.1435406698564594
24,coex_STM,32,29,0.22065257693733775
25,coex_HRA,23,43,0.9956237360970679
26,coex_PRS,31,43,0.7416719044626023
27,coex_ATA,34,19,0.2620414673046252
28,coex_FIB,14,17,0.3323393873678506
29,coex_BRC,21,30,0.034679089026914856
30,coex_ATT,36,29,0.7780943567764136
31,coex_TNV,27,26,0.7085714285714286
32,coex_SPL,38,23,0.10863938177589372
33,coex_LCL,21,24,0.30138888888888893
34,coex_CLS,29,28,0.413118388394901
35,coex_EMC,41,19,0.7283652782081362
36,coex_CLT,34,24,0.6655773420479301
37,coex_core,44,41,1.2510318435604946
38,coex_WBL,39,34,1.2017560870502049
39,co-essential,4,11,0.01060606060606073
40,GOBP,13,23,2.0204295704295703
41,ppi,50,49,0.31422387136672847
42,reactome_copathway,23,17,0.8025210084033616
43,MP,13,25,1.7940990990990993
44,HP,26,38,0.9546432186234819
45,GI_net,22,17,0.17314640844052587
46,gene_gene_on_CbG_name_mapped,10,11,0.3300865800865802
47,gene_gene_on_GcG_name_mapped,26,27,0.03815244852980704
48,GOMF,9,2,
