,Layer,Epididymitis nodes,Osteomyelitis nodes,sAB
0,coex_KDN,42,42,-0.04761904761904767
1,coex_BST,29,27,0.41208791208791196
2,coex_OVR,30,29,0.07918263090676936
3,coex_LNG,35,41,0.310912698412698
4,coex_ITI,43,39,0.4443911165408614
5,coex_VGN,30,31,-0.13056027164685924
6,coex_HRV,21,26,0.2710520487264674
7,coex_MSG,42,39,0.30792972459639123
8,coex_ADV,38,30,0.06491228070175437
9,coex_EMS,29,28,-0.06990536686543924
10,coex_SMU,24,26,-0.02716538120264822
11,coex_ARG,25,32,-0.03525641025641013
12,coex_TST,28,31,-0.03837967663828801
13,coex_PIT,33,29,0.283176593521421
14,coex_LVR,28,33,-0.012648809523809534
15,coex_THY,24,33,0.027009222661396493
16,coex_PNC,27,28,0.31302308802308776
17,coex_ATC,32,37,0.17431085977281624
18,coex_BRO,31,31,-0.19354838709677424
19,coex_SKN,32,29,0.08273809523809517
20,coex_ADS,31,31,0.11290322580645196
21,coex_GEJ,36,31,0.8018315018315021
22,coex_BRB,25,26,0.08040723981900455
23,coex_UTR,20,24,0.05772311212814607
24,coex_STM,32,31,-0.032258064516129004
25,coex_HRA,28,26,0.06546513068252224
26,coex_PRS,28,24,-0.027233115468409563
27,coex_ATA,29,30,0.13232600732600774
28,coex_FIB,22,18,0.46439393939393936
29,coex_BRC,29,24,0.2013120798091519
30,coex_ATT,26,27,0.22259259259259245
31,coex_TNV,27,23,0.7960708534621581
32,coex_SPL,23,36,0.013244084172602921
33,coex_LCL,16,22,-0.10542929292929282
34,coex_CLS,35,37,0.45852001734354664
35,coex_EMC,28,33,0.060267857142857206
36,coex_CLT,33,38,0.18470893141945788
37,coex_core,44,42,0.3379152823920264
38,coex_WBL,30,39,-0.09943240454076374
39,co-essential,15,5,1.443233082706766
40,GOBP,9,25,1.358333333333333
41,ppi,49,50,0.1504514533085961
42,reactome_copathway,22,18,0.44932950191570886
43,MP,15,12,-0.3640109890109886
44,HP,14,36,0.026587301587301493
45,GI_net,25,18,0.48749354005167955
46,gene_gene_on_CbG_name_mapped,10,14,-0.2523809523809526
47,gene_gene_on_GcG_name_mapped,28,28,-0.0714285714285714
48,GOMF,5,8,
