,Layer,Episcleritis nodes,Conjunctivitis nodes,sAB
0,coex_KDN,48,39,0.0076812555260832305
1,coex_BST,32,30,0.1312500000000001
2,coex_OVR,36,37,0.03992196421773886
3,coex_LNG,42,39,0.00695292361958999
4,coex_ITI,43,39,0.02788079759151807
5,coex_VGN,40,35,-0.022453222453222565
6,coex_HRV,25,24,0.015640096618357635
7,coex_MSG,39,41,0.012124765478424004
8,coex_ADV,33,30,-0.12203179334326864
9,coex_EMS,36,34,0.07962184873949574
10,coex_SMU,37,28,-0.01177606177606183
11,coex_ARG,42,33,-0.04653679653679643
12,coex_TST,40,33,-0.08993358239933569
13,coex_PIT,41,35,0.020264074821199518
14,coex_LVR,40,35,-0.02439362439362447
15,coex_THY,36,35,0.30000000000000027
16,coex_PNC,32,33,-0.059637237762237616
17,coex_ATC,39,35,-0.07455697455697452
18,coex_BRO,38,33,0.006952400206662546
19,coex_SKN,37,35,0.026780351780351763
20,coex_ADS,32,33,0.2958770396270398
21,coex_GEJ,35,36,0.13176937441643322
22,coex_BRB,26,23,-0.21380793119923558
23,coex_UTR,33,26,0.10133454907161799
24,coex_STM,44,32,-0.0023923444976077235
25,coex_HRA,32,30,-0.016666666666666607
26,coex_PRS,36,35,-0.08550748938072905
27,coex_ATA,40,35,-0.03511904761904727
28,coex_FIB,29,28,-0.0879353556304554
29,coex_BRC,31,26,-0.15215924426450744
30,coex_ATT,39,35,0.08225834193326453
31,coex_TNV,17,24,0.38541666666666696
32,coex_SPL,42,37,0.15612628903768133
33,coex_LCL,30,27,-0.06430976430976432
34,coex_CLS,40,34,-0.0819335110229551
35,coex_EMC,34,36,0.04136321195144732
36,coex_CLT,38,37,0.051449522168573125
37,coex_core,46,40,0.13096562184024263
38,coex_WBL,39,37,0.07884615384615379
39,co-essential,4,8,0.14583333333333348
40,GOBP,29,20,0.5959770114942531
41,ppi,50,49,0.09248608534322833
42,reactome_copathway,20,25,0.3604166666666666
43,MP,16,20,0.10420168067226898
44,HP,18,33,0.013814616755793097
45,GI_net,18,24,-0.2569444444444442
46,gene_gene_on_CbG_name_mapped,6,14,-0.08333333333333348
47,gene_gene_on_GcG_name_mapped,33,34,-0.19577912576156664
48,GOMF,13,4,-0.4722222222222223
