,Layer,Episcleritis nodes,Keratitis nodes,sAB
0,coex_KDN,48,39,-0.0528846153846152
1,coex_BST,32,29,-0.032627897117015525
2,coex_OVR,36,41,0.08355263157894743
3,coex_LNG,42,35,0.016585581601061383
4,coex_ITI,43,35,0.08630186958504327
5,coex_VGN,40,39,0.12820512820512842
6,coex_HRV,25,20,0.23247613997879113
7,coex_MSG,39,45,0.00024420024420024333
8,coex_ADV,33,30,-0.21406926406926408
9,coex_EMS,36,31,0.06409484833895052
10,coex_SMU,37,25,0.08495204882301666
11,coex_ARG,42,31,-0.22741093786166688
12,coex_TST,40,35,-0.0385714285714287
13,coex_PIT,41,37,-0.11971164410188817
14,coex_LVR,40,32,-0.04752956843625844
15,coex_THY,36,24,0.08271791767554504
16,coex_PNC,32,32,-0.046875
17,coex_ATC,39,30,-0.011482720178372485
18,coex_BRO,38,35,-0.17868262204807794
19,coex_SKN,37,37,0.09459459459459452
20,coex_ADS,32,31,0.6895833333333332
21,coex_GEJ,35,40,0.1857631356019751
22,coex_BRB,26,24,0.01733670056651415
23,coex_UTR,33,22,0.11684553872053893
24,coex_STM,44,33,-0.34145021645021645
25,coex_HRA,32,31,0.1392473118279569
26,coex_PRS,36,32,0.30318813131313105
27,coex_ATA,40,29,0.009051724137931094
28,coex_FIB,29,21,0.1904105090311985
29,coex_BRC,31,27,0.15006385696040825
30,coex_ATT,39,27,0.2477859311740891
31,coex_TNV,17,21,0.7254263191763193
32,coex_SPL,42,28,-0.06428571428571428
33,coex_LCL,30,21,0.05170068027210872
34,coex_CLS,40,30,-0.034503901895206246
35,coex_EMC,34,34,0.11363636363636354
36,coex_CLT,38,33,0.020907010609527932
37,coex_core,46,43,0.30519042804179297
38,coex_WBL,39,30,0.029933110367893034
39,co-essential,4,6,-0.1499999999999999
40,GOBP,29,20,0.8637601055931361
41,ppi,50,50,0.010000000000000231
42,reactome_copathway,20,20,0.24281015037594011
43,MP,16,16,2.0923280423280426
44,HP,18,33,0.006684491978609541
45,GI_net,18,25,-0.6560672514619883
46,gene_gene_on_CbG_name_mapped,6,6,-0.3333333333333335
47,gene_gene_on_GcG_name_mapped,33,30,-0.2142135642135643
48,GOMF,13,2,
