,Layer,Erythroderma nodes,Pneumonia nodes,sAB
0,coex_KDN,25,36,0.26412835249042144
1,coex_BST,19,23,0.7025171624713957
2,coex_OVR,31,28,0.8334157294112801
3,coex_LNG,27,35,0.7865079365079364
4,coex_ITI,24,31,0.45441104594330417
5,coex_VGN,41,22,0.08683525146939775
6,coex_HRV,9,31,0.4460576729179271
7,coex_MSG,38,38,0.2894736842105263
8,coex_ADV,13,35,0.6173534798534797
9,coex_EMS,24,26,0.23717948717948723
10,coex_SMU,20,23,0.2447204968944099
11,coex_ARG,15,22,0.49732620320855636
12,coex_TST,23,25,0.35391304347826114
13,coex_PIT,17,33,0.29390374331550806
14,coex_LVR,18,32,0.04423611111111114
15,coex_THY,21,23,0.5990024468285338
16,coex_PNC,13,26,0.0769230769230771
17,coex_ATC,20,26,0.0846989966555185
18,coex_BRO,15,35,-0.10816326530612264
19,coex_SKN,40,23,0.1071428571428572
20,coex_ADS,35,24,1.4953490718321225
21,coex_GEJ,27,30,0.4912196679438061
22,coex_BRB,9,28,0.31199056199056185
23,coex_UTR,11,17,0.3338594276094278
24,coex_STM,21,31,0.6443932411674349
25,coex_HRA,16,25,0.19335365853658537
26,coex_PRS,24,28,0.4761904761904763
27,coex_ATA,17,26,0.2738095238095237
28,coex_FIB,12,26,0.510962010962011
29,coex_BRC,16,24,0.5354166666666664
30,coex_ATT,22,24,0.0497542997542999
31,coex_TNV,25,24,1.8113095238095238
32,coex_SPL,19,23,0.3291925465838508
33,coex_LCL,10,16,-0.007211538461538325
34,coex_CLS,21,24,0.7026515151515151
35,coex_EMC,30,27,0.16043771043771038
36,coex_CLT,21,29,0.293439716312057
37,coex_core,38,34,0.8041795665634675
38,coex_WBL,20,30,0.16000000000000014
39,co-essential,2,9,2.5
40,GOBP,25,12,2.3656296851574212
41,ppi,47,50,0.3640666812897566
42,reactome_copathway,14,25,0.9160714285714286
43,MP,22,11,2.275757575757576
44,HP,37,12,0.6953713917999633
45,GI_net,13,22,0.3439991381167853
46,gene_gene_on_CbG_name_mapped,3,14,0.21148459383753515
47,gene_gene_on_GcG_name_mapped,22,29,0.08771282807793956
48,GOMF,9,2,
