,Layer,Ewing_sarcoma nodes,Breast_neoplasm nodes,sAB
0,coex_KDN,43,43,-0.023255813953488413
1,coex_BST,35,37,-0.03990776490776482
2,coex_OVR,37,33,0.05823095823095814
3,coex_LNG,34,41,0.08124006359300484
4,coex_ITI,41,43,-0.12024282202954906
5,coex_VGN,38,39,0.011834656571498625
6,coex_HRV,21,17,0.12202380952380931
7,coex_MSG,38,43,0.17348172325732514
8,coex_ADV,29,25,0.06457215836526187
9,coex_EMS,32,35,-0.05696295309168442
10,coex_SMU,37,34,-0.08928571428571419
11,coex_ARG,34,30,-0.038646426312460624
12,coex_TST,43,42,0.0013223894208846954
13,coex_PIT,38,32,-0.06824828559903184
14,coex_LVR,38,35,0.08685755484601909
15,coex_THY,43,33,0.13060606060606084
16,coex_PNC,38,31,-0.24424226766073676
17,coex_ATC,39,38,-0.09004591899328762
18,coex_BRO,37,32,0.038909313725490335
19,coex_SKN,37,38,0.27463512539215507
20,coex_ADS,31,30,1.047830923248053
21,coex_GEJ,31,35,0.183257918552036
22,coex_BRB,24,23,0.0774125132555672
23,coex_UTR,30,35,-0.09010989010989001
24,coex_STM,40,44,-0.009199134199133985
25,coex_HRA,35,32,0.13492803837953082
26,coex_PRS,35,34,0.17102058214590188
27,coex_ATA,34,32,0.14500928059395823
28,coex_FIB,33,36,-0.033548773987206904
29,coex_BRC,38,33,0.11815149268818659
30,coex_ATT,37,34,0.1354877398720684
31,coex_TNV,16,21,0.08333333333333304
32,coex_SPL,36,39,0.1466666666666665
33,coex_LCL,30,31,0.04662969616496149
34,coex_CLS,37,38,-0.14844001896633463
35,coex_EMC,35,38,0.13646101555258006
36,coex_CLT,34,45,-0.11079213184476333
37,coex_core,42,44,0.19181604466647095
38,coex_WBL,37,32,-0.04038668649674371
39,co-essential,12,21,0.9063636363636367
40,GOBP,10,8,-0.4097222222222223
41,ppi,50,50,0.010000000000000009
42,reactome_copathway,20,33,0.1615903278307369
43,MP,10,12,0.7203349282296654
44,HP,23,25,-0.11811594202898545
45,GI_net,31,35,0.0390818858560793
46,gene_gene_on_CbG_name_mapped,8,17,-0.18955882352941167
47,gene_gene_on_GcG_name_mapped,28,40,0.013025210084033345
48,GOMF,5,2,
