,Layer,Ewing_sarcoma nodes,Sarcoma nodes,sAB
0,coex_KDN,43,38,-0.312896053793595
1,coex_BST,35,26,-0.2677265357593228
2,coex_OVR,37,34,-0.08592488592488579
3,coex_LNG,34,34,-0.20918801713358337
4,coex_ITI,41,31,-0.27192062243203075
5,coex_VGN,38,29,-0.3370059864019288
6,coex_HRV,21,24,0.1522009966777409
7,coex_MSG,38,36,-0.11067646593962377
8,coex_ADV,29,31,0.14451242120875074
9,coex_EMS,32,32,-0.22475838453661034
10,coex_SMU,37,25,-0.29704918032786876
11,coex_ARG,34,29,-0.37208216619981305
12,coex_TST,43,37,-0.24292111879321188
13,coex_PIT,38,35,-0.410758946579842
14,coex_LVR,38,30,-0.2891640866873064
15,coex_THY,43,28,-0.23571428571428577
16,coex_PNC,38,30,-0.37476780185758507
17,coex_ATC,39,34,-0.38738418444300793
18,coex_BRO,37,36,-0.2117035546613013
19,coex_SKN,37,31,-0.09495358736345438
20,coex_ADS,31,27,0.32568238213399514
21,coex_GEJ,31,33,-0.03189792663476876
22,coex_BRB,24,29,-0.43478260869565255
23,coex_UTR,30,31,-0.2092324805339265
24,coex_STM,40,34,-0.2303259141494436
25,coex_HRA,35,28,-0.3194444444444444
26,coex_PRS,35,29,-0.05888238916256161
27,coex_ATA,34,28,-0.0831273540489641
28,coex_FIB,33,30,-0.31879200759789605
29,coex_BRC,38,37,-0.09170697012802287
30,coex_ATT,37,28,-0.1375337776977119
31,coex_TNV,16,22,-0.06951871657753994
32,coex_SPL,36,27,-0.41534391534391535
33,coex_LCL,30,24,-0.14754482596976426
34,coex_CLS,37,34,-0.4587189091265178
35,coex_EMC,35,32,-0.3826579670329673
36,coex_CLT,34,32,-0.29420210166177907
37,coex_core,42,39,-0.17542213883677293
38,coex_WBL,37,32,-0.49801703877790837
39,co-essential,12,21,0.11784511784511809
40,GOBP,10,7,0.6111111111111107
41,ppi,50,50,-0.1399999999999999
42,reactome_copathway,20,26,-0.1698666992784641
43,MP,10,8,0.47857142857142776
44,HP,23,22,-0.3499341238471674
45,GI_net,31,32,-0.2551725277630883
46,gene_gene_on_CbG_name_mapped,8,13,-0.5368589743589745
47,gene_gene_on_GcG_name_mapped,28,37,-0.4001336501336503
48,GOMF,5,3,
