,Layer,Extrapyramidal_disease nodes,Respiratory_insufficiency nodes,sAB
0,coex_KDN,37,42,-0.04606879606879599
1,coex_BST,30,34,0.14656891394781169
2,coex_OVR,29,34,0.09614845938375338
3,coex_LNG,29,37,0.4748933886864921
4,coex_ITI,38,39,0.14224372119108986
5,coex_VGN,36,39,0.11572649572649585
6,coex_HRV,17,19,0.23882008943928446
7,coex_MSG,37,43,0.21040226272784412
8,coex_ADV,31,33,0.35258030808642604
9,coex_EMS,23,33,0.1561771561771561
10,coex_SMU,21,41,0.2848525720280244
11,coex_ARG,30,36,0.260763888888889
12,coex_TST,32,40,-0.14965277777777763
13,coex_PIT,33,38,0.21337354269155617
14,coex_LVR,29,39,0.2834534225424601
15,coex_THY,22,37,0.422763672763673
16,coex_PNC,32,35,0.14953291490293363
17,coex_ATC,30,35,0.3538461538461537
18,coex_BRO,38,35,0.28288186218972067
19,coex_SKN,33,37,0.2150238473767887
20,coex_ADS,30,29,0.9098978288633459
21,coex_GEJ,26,30,0.2415750915750916
22,coex_BRB,28,18,-0.05753968253968278
23,coex_UTR,24,32,0.12789351851851816
24,coex_STM,33,36,0.36444670586461636
25,coex_HRA,27,37,0.2513661202185793
26,coex_PRS,29,38,0.0843175230923423
27,coex_ATA,30,31,0.311574263801885
28,coex_FIB,21,30,0.15700280112044807
29,coex_BRC,28,37,0.10563270643915779
30,coex_ATT,28,40,0.2598067915690869
31,coex_TNV,21,18,1.4871323529411766
32,coex_SPL,28,34,0.33169558145838973
33,coex_LCL,18,28,0.14115071919949962
34,coex_CLS,31,38,0.14681522129339952
35,coex_EMC,32,36,0.2619802771855011
36,coex_CLT,33,40,0.056392694063926996
37,coex_core,38,41,0.30653829696191703
38,coex_WBL,27,36,0.5092592592592595
39,co-essential,10,13,1.7606837606837606
40,GOBP,16,20,0.18030303030303063
41,ppi,49,50,0.04052772624201184
42,reactome_copathway,15,7,0.9714285714285715
43,MP,19,13,1.5277777777777777
44,HP,22,31,0.22666408454600795
45,GI_net,16,17,-0.20844474153297687
46,gene_gene_on_CbG_name_mapped,14,12,-0.06501831501831501
47,gene_gene_on_GcG_name_mapped,38,41,0.20600493979623358
48,GOMF,5,6,
