,Layer,Fibrosarcoma nodes,Uterine_leiomyoma nodes,sAB
0,coex_KDN,46,45,0.031897329723416634
1,coex_BST,26,38,0.2764423076923077
2,coex_OVR,36,34,0.001984126984126977
3,coex_LNG,36,40,0.3620107632093932
4,coex_ITI,43,43,0.19767441860465107
5,coex_VGN,38,36,0.08102181128496899
6,coex_HRV,37,26,0.20895368072787424
7,coex_MSG,42,45,0.14915161466885607
8,coex_ADV,27,30,0.24220272904483453
9,coex_EMS,26,35,-0.09101062871554655
10,coex_SMU,34,32,0.10774329836829821
11,coex_ARG,30,34,0.14460784313725483
12,coex_TST,42,46,0.17193675889328075
13,coex_PIT,40,36,0.3143393393393392
14,coex_LVR,41,35,0.1202182284980744
15,coex_THY,36,38,-0.008357041251778163
16,coex_PNC,33,35,0.15346396360443793
17,coex_ATC,34,38,0.22536119711042346
18,coex_BRO,38,36,0.2658741925235626
19,coex_SKN,39,40,0.19009784075573544
20,coex_ADS,40,30,0.01638321110937735
21,coex_GEJ,28,35,0.017974238875878346
22,coex_BRB,34,24,0.4681372549019609
23,coex_UTR,28,34,0.24437479909996807
24,coex_STM,43,40,0.26346315494536277
25,coex_HRA,39,33,0.30866355866355866
26,coex_PRS,32,37,0.10175528789659238
27,coex_ATA,35,35,0.48958359463188295
28,coex_FIB,32,33,-0.03128054740957964
29,coex_BRC,38,34,0.4555813553491572
30,coex_ATT,38,36,0.436713604360663
31,coex_TNV,32,26,-0.0022321428571427937
32,coex_SPL,31,32,0.12604006656426003
33,coex_LCL,23,18,0.4420024420024422
34,coex_CLS,31,40,0.012096774193548487
35,coex_EMC,33,38,-0.033247180451127845
36,coex_CLT,38,42,-0.02700666308261246
37,coex_core,44,40,0.30895232815964513
38,coex_WBL,37,32,0.18957476498237358
39,co-essential,8,10,0.2875000000000001
40,GOBP,6,20,1.2111455108359133
41,ppi,50,49,0.11984745413316866
42,reactome_copathway,28,23,0.7845677451971689
43,MP,6,9,-0.4272727272727277
44,HP,22,21,0.09523809523809512
45,GI_net,19,19,-0.1008771929824559
46,gene_gene_on_CbG_name_mapped,17,5,0.38021390374331543
47,gene_gene_on_GcG_name_mapped,33,32,0.0012164918414918624
48,GOMF,2,5,
