,Layer,Germ_cell_tumor_of_testis nodes,Lymphoma nodes,sAB
0,coex_KDN,36,48,0.034044715447154594
1,coex_BST,24,30,0.04953703703703716
2,coex_OVR,29,38,-0.017911802150770484
3,coex_LNG,37,46,0.3282070703495532
4,coex_ITI,31,46,0.08231179759931528
5,coex_VGN,36,42,0.3460012210012209
6,coex_HRV,20,26,0.4222027972027971
7,coex_MSG,36,46,0.08124189937551551
8,coex_ADV,30,32,0.1420258620689654
9,coex_EMS,32,36,0.32148692810457513
10,coex_SMU,24,38,0.13157894736842102
11,coex_ARG,27,33,0.006734006734006703
12,coex_TST,39,42,0.22880206213539567
13,coex_PIT,30,41,0.05054391388984314
14,coex_LVR,27,41,0.05528986662415658
15,coex_THY,26,40,0.25122377622377634
16,coex_PNC,25,35,0.20047619047619047
17,coex_ATC,31,44,0.12760787599497259
18,coex_BRO,32,39,0.0980267044783174
19,coex_SKN,38,42,0.2259711779448621
20,coex_ADS,31,35,0.9194525904203323
21,coex_GEJ,31,39,0.7711564309346568
22,coex_BRB,16,26,-0.12683150183150182
23,coex_UTR,27,30,0.35486225141397565
24,coex_STM,29,42,0.3354263512107125
25,coex_HRA,27,35,0.2844827586206895
26,coex_PRS,33,37,0.2446823446823445
27,coex_ATA,26,35,0.2584280126653007
28,coex_FIB,23,36,0.0680778032036613
29,coex_BRC,31,34,0.037352211356006304
30,coex_ATT,28,39,0.2991285030758717
31,coex_TNV,24,21,0.6249999999999996
32,coex_SPL,25,41,0.0772357723577235
33,coex_LCL,22,39,-0.04202551834130763
34,coex_CLS,30,39,0.08913043478260851
35,coex_EMC,32,39,0.0804152315346347
36,coex_CLT,28,39,0.07808857808857805
37,coex_core,36,45,0.45524691358024705
38,coex_WBL,29,47,0.09066687261072692
39,co-essential,9,21,2.179487179487179
40,GOBP,18,8,1.2638888888888893
41,ppi,49,50,0.22024943310657608
42,reactome_copathway,17,34,0.5219087635054023
43,MP,23,9,0.8802339901477838
44,HP,18,32,0.3016666666666665
45,GI_net,17,32,0.4355596405228759
46,gene_gene_on_CbG_name_mapped,13,10,0.1444816053511706
47,gene_gene_on_GcG_name_mapped,38,35,-0.002564630754969599
48,GOMF,4,4,
