,Layer,Gingival_disorder nodes,Diarrhea nodes,sAB
0,coex_KDN,48,36,0.4171626984126984
1,coex_BST,42,19,0.40146472739225114
2,coex_OVR,42,24,0.4867424242424243
3,coex_LNG,47,30,0.6885643124686256
4,coex_ITI,44,37,0.49472030169704606
5,coex_VGN,42,22,0.1674107142857144
6,coex_HRV,35,21,1.1019480519480522
7,coex_MSG,47,35,0.286144265697976
8,coex_ADV,38,26,0.8495698380566803
9,coex_EMS,39,23,0.6504297479052039
10,coex_SMU,40,19,0.28753345227475435
11,coex_ARG,37,18,0.13386360833641664
12,coex_TST,46,28,0.11467601141514194
13,coex_PIT,44,31,0.22556314754364282
14,coex_LVR,43,28,0.4722053249730942
15,coex_THY,43,20,0.8835455887781469
16,coex_PNC,42,28,0.5392156862745099
17,coex_ATC,39,24,0.512705873361611
18,coex_BRO,42,26,0.6093514328808447
19,coex_SKN,46,22,0.394723352932308
20,coex_ADS,40,20,1.3258386350491613
21,coex_GEJ,39,28,0.789472964846099
22,coex_BRB,29,22,0.9999692667035469
23,coex_UTR,42,15,0.4655512458089537
24,coex_STM,42,31,0.2879026997453864
25,coex_HRA,45,22,0.6349206349206351
26,coex_PRS,45,24,0.2936758893280631
27,coex_ATA,39,20,0.8724815724815724
28,coex_FIB,39,19,0.24315880198233142
29,coex_BRC,42,23,0.584121675426023
30,coex_ATT,43,20,0.6104760653440198
31,coex_TNV,32,15,1.384375
32,coex_SPL,45,24,0.55012077294686
33,coex_LCL,30,14,0.19999999999999973
34,coex_CLS,44,25,0.7345964432284542
35,coex_EMC,43,27,0.3119847422173003
36,coex_CLT,42,30,0.3869249982654548
37,coex_core,48,32,0.590968252347897
38,coex_WBL,40,26,0.31273809523809515
39,co-essential,15,7,0.4166666666666665
40,GOBP,25,21,0.5406990313922284
41,ppi,46,49,0.05413066828562085
42,reactome_copathway,9,18,0.6541353383458643
43,MP,12,19,0.5777777777777775
44,HP,8,23,0.24316269284712466
45,GI_net,18,13,-0.009431181844974823
46,gene_gene_on_CbG_name_mapped,4,7,0.019480519480519654
47,gene_gene_on_GcG_name_mapped,35,26,0.13322824716267356
48,GOMF,6,8,
