,Layer,Gynecomastia nodes,Precocious_puberty nodes,sAB
0,coex_KDN,37,35,-0.015008173044626982
1,coex_BST,26,27,0.1891227221415901
2,coex_OVR,28,26,0.12172268907563044
3,coex_LNG,30,32,0.18870967741935507
4,coex_ITI,31,33,0.015212609970674418
5,coex_VGN,29,33,0.08998213503219077
6,coex_HRV,16,19,-0.0948400412796695
7,coex_MSG,37,33,0.06435006435006452
8,coex_ADV,25,29,0.3111877394636018
9,coex_EMS,24,27,0.2533011272141703
10,coex_SMU,25,28,0.2309981684981688
11,coex_ARG,25,36,0.3585221674876846
12,coex_TST,36,35,0.042521797451374965
13,coex_PIT,32,33,0.15177010489510478
14,coex_LVR,27,29,0.15622149242838868
15,coex_THY,26,33,0.557596656217346
16,coex_PNC,28,25,-0.05037735849056579
17,coex_ATC,30,30,0.35344827586206895
18,coex_BRO,30,32,-0.0063172043010752965
19,coex_SKN,29,29,0.01724137931034475
20,coex_ADS,21,22,0.5080752580752579
21,coex_GEJ,32,32,0.35663082437275984
22,coex_BRB,18,26,0.45998445998446025
23,coex_UTR,23,22,0.05016107923084645
24,coex_STM,28,30,0.16715927750410509
25,coex_HRA,28,29,0.36576354679802936
26,coex_PRS,26,25,0.08014811275680822
27,coex_ATA,27,32,0.4689358116016664
28,coex_FIB,22,26,-0.04443473193473202
29,coex_BRC,26,31,0.19494144791258528
30,coex_ATT,24,30,0.47107279693486603
31,coex_TNV,15,22,0.535204991087344
32,coex_SPL,27,23,0.01687600644122389
33,coex_LCL,23,17,0.2787723785166243
34,coex_CLS,26,28,0.41767456861796504
35,coex_EMC,28,28,0.1626382876382877
36,coex_CLT,29,27,0.025542784163473886
37,coex_core,31,36,0.11164874551971327
38,coex_WBL,26,29,-0.20424403183023854
39,co-essential,14,10,0.8391941391941389
40,GOBP,26,17,0.1006944444444442
41,ppi,50,50,0.030000000000000027
42,reactome_copathway,14,21,-0.37559681697612723
43,MP,18,11,0.7753968253968253
44,HP,39,34,0.024220541746730495
45,GI_net,19,20,-0.28362573099415167
46,gene_gene_on_CbG_name_mapped,12,11,-0.030961791831357166
47,gene_gene_on_GcG_name_mapped,30,30,-0.050000000000000044
48,GOMF,11,8,
