,Layer,Head_and_neck_cancer nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,47,48,-0.14655604378661735
1,coex_BST,35,45,0.061309523809523814
2,coex_OVR,39,45,-0.13510378510378507
3,coex_LNG,44,47,-0.06941728484281673
4,coex_ITI,47,47,-0.06382978723404253
5,coex_VGN,43,47,-0.10613557644730331
6,coex_HRV,24,16,0.19791666666666696
7,coex_MSG,43,48,-0.08413727745123101
8,coex_ADV,27,42,0.023349436392914535
9,coex_EMS,33,44,-0.10443722943722955
10,coex_SMU,26,42,0.0005925447101917669
11,coex_ARG,38,44,0.12900717703349285
12,coex_TST,41,48,-0.1385625057093267
13,coex_PIT,37,45,0.11706584633413897
14,coex_LVR,40,44,-0.2096861471861473
15,coex_THY,39,35,-0.23479853479853485
16,coex_PNC,36,44,-0.1142676767676769
17,coex_ATC,34,44,0.0275974025974024
18,coex_BRO,38,42,0.17675438596491233
19,coex_SKN,41,47,0.06962070104260043
20,coex_ADS,34,31,0.39614168247944326
21,coex_GEJ,40,43,-0.05536890789301463
22,coex_BRB,32,17,-0.29342361944777906
23,coex_UTR,30,43,0.084856425373949
24,coex_STM,46,47,-0.13004436354231963
25,coex_HRA,34,42,0.12162759840778414
26,coex_PRS,35,45,-0.08730158730158744
27,coex_ATA,31,40,0.1274266530433512
28,coex_FIB,36,46,-0.1353864734299517
29,coex_BRC,39,45,-0.07844932844932839
30,coex_ATT,35,40,0.10674603174603137
31,coex_TNV,23,11,0.8945158102766797
32,coex_SPL,38,46,-0.10147651738040775
33,coex_LCL,33,38,-0.0491778421726532
34,coex_CLS,46,46,-0.09983808462069343
35,coex_EMC,42,45,-0.08667214012041602
36,coex_CLT,43,48,0.01985345353192236
37,coex_core,46,48,0.017210144927536142
38,coex_WBL,38,43,-0.2261510796802515
39,co-essential,24,25,0.24110671936758887
40,GOBP,15,18,1.761445957693422
41,ppi,49,49,-0.061224489795918435
42,reactome_copathway,25,25,0.07777777777777772
43,MP,13,20,-0.23888888888888893
44,HP,22,30,-0.2624708624708625
45,GI_net,29,35,-0.2517087438423644
46,gene_gene_on_CbG_name_mapped,15,15,-0.3999999999999999
47,gene_gene_on_GcG_name_mapped,31,40,-0.2036744661517491
48,GOMF,6,6,
