,Layer,Head_and_neck_neoplasm nodes,Neoplasm_of_the_large_intestine nodes,sAB
0,coex_KDN,45,50,-0.38847953216374265
1,coex_BST,31,37,-0.1127237294220218
2,coex_OVR,38,43,-0.5246762470344684
3,coex_LNG,41,49,-0.44988662131519286
4,coex_ITI,43,49,-0.3339541074265904
5,coex_VGN,42,43,-0.29489609797407357
6,coex_HRV,21,24,-0.1850649350649347
7,coex_MSG,44,49,-0.21184441518542885
8,coex_ADV,26,36,-0.17318031430934644
9,coex_EMS,34,38,-0.20265737874097
10,coex_SMU,27,38,-0.2563727695306641
11,coex_ARG,37,40,-0.10986671603109976
12,coex_TST,39,46,-0.2497311299101579
13,coex_PIT,36,43,-0.09828934026755642
14,coex_LVR,38,43,-0.41382957825226274
15,coex_THY,37,41,-0.45004826254826247
16,coex_PNC,36,44,-0.31098484848484853
17,coex_ATC,36,38,-0.2157223012486169
18,coex_BRO,39,41,-0.11010006253908688
19,coex_SKN,39,43,-0.2462731067382231
20,coex_ADS,33,30,0.06764112903225783
21,coex_GEJ,40,40,-0.23076923076923062
22,coex_BRB,33,25,-0.4130303030303031
23,coex_UTR,27,34,-0.37923675845565885
24,coex_STM,44,48,-0.35198451910408424
25,coex_HRA,36,39,-0.12328482328482337
26,coex_PRS,35,42,-0.35930735930735924
27,coex_ATA,31,38,-0.13094544256645468
28,coex_FIB,33,41,-0.43157005596029974
29,coex_BRC,35,40,-0.2186904761904762
30,coex_ATT,34,39,-0.22634130575307054
31,coex_TNV,27,21,-0.5531348496464776
32,coex_SPL,37,41,-0.17689265250240882
33,coex_LCL,27,28,-0.27156084656084656
34,coex_CLS,43,46,-0.29381340816396095
35,coex_EMC,38,45,-0.23392165151835398
36,coex_CLT,43,47,-0.2135328439676265
37,coex_core,44,46,-0.2514822134387351
38,coex_WBL,36,40,-0.3253571428571429
39,co-essential,19,22,-0.28801169590643294
40,GOBP,16,8,0.25
41,ppi,49,50,-0.23306947021232727
42,reactome_copathway,28,33,-0.04052429052429063
43,MP,9,13,-1.791666666666667
44,HP,21,25,-0.48322981366459605
45,GI_net,29,37,-0.16431733457595543
46,gene_gene_on_CbG_name_mapped,20,17,-0.5950715421303655
47,gene_gene_on_GcG_name_mapped,32,36,-0.34426062091503273
48,GOMF,4,2,
