,Layer,Heartburn nodes,Stomatitis nodes,sAB
0,coex_KDN,28,47,0.06885342789598115
1,coex_BST,20,31,-0.03205249841872204
2,coex_OVR,17,33,0.18736471861471848
3,coex_LNG,28,43,0.5129714968424646
4,coex_ITI,26,45,0.07242084988563868
5,coex_VGN,23,35,0.28276397515527973
6,coex_HRV,14,25,0.30664092664092646
7,coex_MSG,24,41,0.11461069418386494
8,coex_ADV,23,33,0.6235836627140978
9,coex_EMS,15,35,0.4201621073961497
10,coex_SMU,15,35,0.3392857142857144
11,coex_ARG,16,31,0.23192049808429127
12,coex_TST,20,40,-0.029166666666666785
13,coex_PIT,16,37,0.13623470168281493
14,coex_LVR,27,35,-0.003439153439153353
15,coex_THY,22,37,0.60641186299081
16,coex_PNC,17,33,0.258220502901354
17,coex_ATC,18,42,0.19525974920766132
18,coex_BRO,17,37,-0.038538538538538614
19,coex_SKN,22,38,0.15735867446393792
20,coex_ADS,19,30,0.9261596252057571
21,coex_GEJ,23,36,0.6634615384615383
22,coex_BRB,15,22,0.277056277056277
23,coex_UTR,10,31,0.0
24,coex_STM,25,40,0.43326923076923096
25,coex_HRA,18,34,0.2450980392156863
26,coex_PRS,20,37,0.15801886792452846
27,coex_ATA,16,38,0.18838562753036436
28,coex_FIB,12,33,0.15404040404040398
29,coex_BRC,21,33,0.017557932263814635
30,coex_ATT,17,35,0.8235294117647056
31,coex_TNV,7,21,0.8214285714285716
32,coex_SPL,21,43,0.3214285714285716
33,coex_LCL,11,33,0.11904761904761907
34,coex_CLS,21,36,0.4185148405605208
35,coex_EMC,21,37,0.18247338247338218
36,coex_CLT,16,38,0.18920565302144254
37,coex_core,32,46,0.46739130434782616
38,coex_WBL,23,43,0.37155682201182705
39,co-essential,6,13,-0.2361111111111116
40,GOBP,25,15,0.9833333333333334
41,ppi,49,49,0.12244897959183687
42,reactome_copathway,13,22,0.15219941348973576
43,MP,21,11,1.5894105894105888
44,HP,16,25,0.32368902439024394
45,GI_net,14,27,0.3160358160358161
46,gene_gene_on_CbG_name_mapped,20,8,0.1428571428571428
47,gene_gene_on_GcG_name_mapped,36,28,-0.051587301587301404
48,GOMF,8,4,
