,Layer,Hepatic_encephalopathy nodes,Erythema_nodosum nodes,sAB
0,coex_KDN,42,36,0.1126373626373629
1,coex_BST,22,27,0.30667588225727727
2,coex_OVR,23,28,-0.014090788952028532
3,coex_LNG,29,30,0.31942333917786847
4,coex_ITI,33,37,-0.09151749151749144
5,coex_VGN,23,30,0.15884057971014487
6,coex_HRV,20,20,0.5802631578947368
7,coex_MSG,28,34,-0.002541339116291619
8,coex_ADV,33,32,0.20994318181818183
9,coex_EMS,25,31,-0.02524650030432163
10,coex_SMU,23,27,0.2019967793880837
11,coex_ARG,25,25,-0.01911564625850315
12,coex_TST,27,33,-0.2279461279461279
13,coex_PIT,30,32,0.060651881720430234
14,coex_LVR,31,28,0.09630555338592517
15,coex_THY,25,25,0.06102040816326504
16,coex_PNC,23,32,0.05654644268774711
17,coex_ATC,25,30,-0.031132075471697718
18,coex_BRO,30,29,-0.05680580762250442
19,coex_SKN,27,29,0.07438316400580591
20,coex_ADS,23,28,0.5976042590949424
21,coex_GEJ,27,28,0.21469387755102032
22,coex_BRB,24,19,0.15821256038647347
23,coex_UTR,18,23,0.1747198879551819
24,coex_STM,27,34,0.2428568877459909
25,coex_HRA,30,28,0.49404761904761907
26,coex_PRS,19,30,0.47958373754299366
27,coex_ATA,22,32,-0.03193548387096801
28,coex_FIB,20,25,-0.005555555555555536
29,coex_BRC,29,25,-0.03538461538461535
30,coex_ATT,24,35,0.18081501831501834
31,coex_TNV,21,20,0.263220551378446
32,coex_SPL,34,28,0.03132254723382988
33,coex_LCL,15,24,-0.007487922705313732
34,coex_CLS,28,31,0.12382659156852682
35,coex_EMC,22,29,0.13521207856183226
36,coex_CLT,27,33,0.06498316498316514
37,coex_core,36,37,0.21621621621621623
38,coex_WBL,31,30,0.18274281685175442
39,co-essential,7,5,-0.2690476190476194
40,GOBP,18,28,1.1666666666666665
41,ppi,49,47,0.07032493848603294
42,reactome_copathway,23,18,0.360479797979798
43,MP,15,11,0.47142857142857153
44,HP,27,19,0.35274175777608274
45,GI_net,23,25,-0.1286956521739131
46,gene_gene_on_CbG_name_mapped,31,9,0.2343189964157706
47,gene_gene_on_GcG_name_mapped,31,29,-0.2822951427512048
48,GOMF,9,10,
