,Layer,Hepatic_encephalopathy nodes,Otitis_media nodes,sAB
0,coex_KDN,42,35,0.2463203463203465
1,coex_BST,22,25,0.3852813852813852
2,coex_OVR,23,26,0.31780007432181323
3,coex_LNG,29,38,0.7432145082211448
4,coex_ITI,33,32,0.03031759906759901
5,coex_VGN,23,28,0.3128881987577641
6,coex_HRV,20,19,0.22322190611664317
7,coex_MSG,28,41,0.060451699237489276
8,coex_ADV,33,30,0.3435736677115986
9,coex_EMS,25,26,-0.020000000000000018
10,coex_SMU,23,22,0.4000439174352215
11,coex_ARG,25,19,0.1065891472868219
12,coex_TST,27,33,0.07811447811447803
13,coex_PIT,30,34,-0.005866280938604973
14,coex_LVR,31,27,0.17358793721418886
15,coex_THY,25,23,-0.004394079555966712
16,coex_PNC,23,23,0.16403162055335985
17,coex_ATC,25,30,0.271212121212121
18,coex_BRO,30,33,0.07232985593641317
19,coex_SKN,27,29,0.02591211651068548
20,coex_ADS,23,23,0.31324110671936767
21,coex_GEJ,27,35,0.44603773584905637
22,coex_BRB,24,29,0.5794002998500749
23,coex_UTR,18,17,0.4191176470588234
24,coex_STM,27,32,0.05009220025109862
25,coex_HRA,30,22,0.47943722943722955
26,coex_PRS,19,30,0.2702336253650399
27,coex_ATA,22,24,0.1539855072463765
28,coex_FIB,20,22,-0.029907084785133264
29,coex_BRC,29,24,0.1274509803921564
30,coex_ATT,24,27,0.3470804988662133
31,coex_TNV,21,16,0.3573439510939509
32,coex_SPL,34,24,0.26407200811359033
33,coex_LCL,15,13,-0.00648148148148131
34,coex_CLS,28,31,0.1007851169141496
35,coex_EMC,22,32,0.29966329966329974
36,coex_CLT,27,30,0.004775828460038989
37,coex_core,36,36,0.2299253034547153
38,coex_WBL,31,26,0.3511400346458169
39,co-essential,7,10,-0.1974789915966384
40,GOBP,18,16,0.7390109890109886
41,ppi,49,49,0.0714285714285714
42,reactome_copathway,23,20,0.9213413628114173
43,MP,15,17,0.6621993625036229
44,HP,27,22,0.6518733433627051
45,GI_net,23,21,-0.1325051759834368
46,gene_gene_on_CbG_name_mapped,31,8,0.13869933829611258
47,gene_gene_on_GcG_name_mapped,31,29,-0.1322951427512049
48,GOMF,9,8,
