,Layer,Hepatocellular_carcinoma nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,42,34,0.024624581539933077
1,coex_BST,30,28,0.29031198686371074
2,coex_OVR,31,33,0.08678589170392459
3,coex_LNG,36,25,0.2551183970856101
4,coex_ITI,44,32,0.37186004784688986
5,coex_VGN,38,28,-0.07575757575757569
6,coex_HRV,24,13,-0.04309598059598052
7,coex_MSG,41,29,0.4373783491529497
8,coex_ADV,25,27,0.6170370370370373
9,coex_EMS,31,21,0.446738745125842
10,coex_SMU,33,24,0.27202950558213734
11,coex_ARG,33,32,0.0861681329423265
12,coex_TST,43,32,-0.024079457364341028
13,coex_PIT,38,32,0.24929680966981738
14,coex_LVR,41,29,0.05853658536585371
15,coex_THY,32,26,0.569956140350877
16,coex_PNC,37,24,0.2949896617929406
17,coex_ATC,37,30,0.25020790020790007
18,coex_BRO,33,27,0.24006734006734032
19,coex_SKN,37,30,0.2429474250369772
20,coex_ADS,26,23,0.8703657582010962
21,coex_GEJ,36,32,0.6891544117647057
22,coex_BRB,25,19,0.49842105263157865
23,coex_UTR,26,24,0.22057692307692323
24,coex_STM,42,27,0.14446744881527485
25,coex_HRA,32,33,0.2346199059561127
26,coex_PRS,33,20,0.2681532304173815
27,coex_ATA,29,31,0.5477117432067375
28,coex_FIB,34,22,-0.039393939393939315
29,coex_BRC,35,29,0.19206349206349227
30,coex_ATT,32,28,0.08177655677655693
31,coex_TNV,21,22,0.8932330827067667
32,coex_SPL,39,24,0.24984737484737485
33,coex_LCL,27,18,-0.043900543900543765
34,coex_CLS,39,25,0.31491228070175437
35,coex_EMC,39,26,0.016447368421052655
36,coex_CLT,40,27,0.08197115384615383
37,coex_core,41,36,0.2318157181571816
38,coex_WBL,37,28,0.1938908955037988
39,co-essential,24,9,1.2142857142857144
40,GOBP,9,17,1.2642045454545459
41,ppi,50,45,0.11742690058479544
42,reactome_copathway,29,17,0.4635460470984021
43,MP,11,12,0.8992424242424244
44,HP,24,37,0.7653780830010337
45,GI_net,30,17,0.15555555555555567
46,gene_gene_on_CbG_name_mapped,13,6,0.26855600539811064
47,gene_gene_on_GcG_name_mapped,35,34,0.05762391913287068
48,GOMF,4,6,
