,Layer,Hepatocellular_carcinoma nodes,Thyroid_tumor nodes,sAB
0,coex_KDN,42,42,-0.24825783972125426
1,coex_BST,30,31,-0.2643486691344967
2,coex_OVR,31,30,-0.2889014509138874
3,coex_LNG,36,40,-0.18341880341880357
4,coex_ITI,44,37,-0.3585024418357752
5,coex_VGN,38,34,-0.49673202614379086
6,coex_HRV,24,25,-0.8687411347517728
7,coex_MSG,41,41,-0.29268292682926833
8,coex_ADV,25,33,-0.1518640350877194
9,coex_EMS,31,29,-0.35333704115684084
10,coex_SMU,33,32,-0.5105405011655013
11,coex_ARG,33,30,-0.4479076479076478
12,coex_TST,43,36,-0.1745453504726393
13,coex_PIT,38,37,-0.39995258416311064
14,coex_LVR,41,38,-0.12410182885150789
15,coex_THY,32,29,-0.4710641605426793
16,coex_PNC,37,30,-0.22171574559634277
17,coex_ATC,37,32,-0.40723325937878196
18,coex_BRO,33,36,-0.35457839262187085
19,coex_SKN,37,29,-0.2007681662854075
20,coex_ADS,26,27,-0.47654948126646257
21,coex_GEJ,36,31,-0.3658645276292336
22,coex_BRB,25,22,-0.6407930367504837
23,coex_UTR,26,25,-0.2318250377073907
24,coex_STM,42,37,-0.19703338057768427
25,coex_HRA,32,33,-0.35284090909090926
26,coex_PRS,33,31,-0.2781036168132942
27,coex_ATA,29,30,-0.27017338788233003
28,coex_FIB,34,32,-0.34101600684261957
29,coex_BRC,35,37,-0.3352316602316603
30,coex_ATT,32,27,-0.1852826510721246
31,coex_TNV,21,21,-0.6636469221835073
32,coex_SPL,39,25,0.10668269230769223
33,coex_LCL,27,24,-0.5407692307692309
34,coex_CLS,39,35,-0.25077399380804954
35,coex_EMC,39,31,-0.29724310776942353
36,coex_CLT,40,32,-0.09508928571428554
37,coex_core,41,39,-0.28759282429599775
38,coex_WBL,37,32,-0.32297174892283587
39,co-essential,24,18,0.5839460784313726
40,GOBP,9,11,-0.21198830409356706
41,ppi,50,50,-0.17999999999999994
42,reactome_copathway,29,24,-0.31022254830031804
43,MP,11,12,-0.17380952380952364
44,HP,24,21,-0.055952380952380976
45,GI_net,30,33,-0.1571572580645162
46,gene_gene_on_CbG_name_mapped,13,15,-0.16941391941391926
47,gene_gene_on_GcG_name_mapped,35,36,-0.3496926000447127
48,GOMF,4,4,
