,Layer,Huntington_disease nodes,Low_back_pain nodes,sAB
0,coex_KDN,41,38,-0.07256138184299887
1,coex_BST,31,24,0.13698680351906156
2,coex_OVR,28,27,0.1587810337810338
3,coex_LNG,34,35,0.41588847207811197
4,coex_ITI,40,32,-0.18055555555555558
5,coex_VGN,30,29,0.028530377668308793
6,coex_HRV,22,27,-0.022651261781696963
7,coex_MSG,39,35,-0.023225423225423203
8,coex_ADV,29,32,0.13014460511679649
9,coex_EMS,35,26,0.4676274545127006
10,coex_SMU,25,26,0.4105392156862746
11,coex_ARG,32,18,0.19437499999999996
12,coex_TST,31,28,0.1994356791377021
13,coex_PIT,32,31,0.16027425755248315
14,coex_LVR,32,33,0.17672258297258292
15,coex_THY,32,22,0.3013605442176872
16,coex_PNC,28,25,-0.019459706959707113
17,coex_ATC,31,26,-0.13470695970695967
18,coex_BRO,35,26,0.16814988290398158
19,coex_SKN,36,23,-0.07133307868602001
20,coex_ADS,29,22,0.027326839826840033
21,coex_GEJ,37,33,-0.07859848484848486
22,coex_BRB,23,19,0.2838672768878716
23,coex_UTR,26,18,0.009575923392612484
24,coex_STM,33,29,0.13956584757474633
25,coex_HRA,31,29,0.3157793677742742
26,coex_PRS,27,29,0.11303238076172395
27,coex_ATA,30,27,-0.3284105422036454
28,coex_FIB,26,26,-0.05769230769230771
29,coex_BRC,33,21,0.1531986531986531
30,coex_ATT,31,21,0.24864114380243452
31,coex_TNV,25,26,-0.0002304964539008303
32,coex_SPL,28,24,0.09638278388278376
33,coex_LCL,25,18,0.10138888888888875
34,coex_CLS,35,30,0.33653395784543316
35,coex_EMC,33,27,-0.2702020202020199
36,coex_CLT,34,29,0.05248255637577093
37,coex_core,38,37,-0.057057057057057214
38,coex_WBL,33,31,0.19682539682539701
39,co-essential,10,8,-1.1527777777777777
40,GOBP,12,16,0.08225108225108269
41,ppi,50,49,0.08115233972376834
42,reactome_copathway,15,22,-0.09590409590409621
43,MP,16,13,-0.40327380952380887
44,HP,18,19,0.07756440651177487
45,GI_net,16,22,0.27556818181818166
46,gene_gene_on_CbG_name_mapped,11,12,0.17868906455862987
47,gene_gene_on_GcG_name_mapped,33,28,-0.2834344617131501
48,GOMF,8,3,
