,Layer,Huntington_disease nodes,Spondylolysis nodes,sAB
0,coex_KDN,41,45,0.1634146341463414
1,coex_BST,31,33,0.46112551203276997
2,coex_OVR,28,32,0.198809523809524
3,coex_LNG,34,39,0.42853457172342635
4,coex_ITI,40,40,0.2124999999999999
5,coex_VGN,30,41,0.14894652467651448
6,coex_HRV,22,26,0.3845393736698086
7,coex_MSG,39,43,0.3124918190147912
8,coex_ADV,29,25,0.77195836044242
9,coex_EMS,35,35,0.47720131530873244
10,coex_SMU,25,32,0.38318452380952395
11,coex_ARG,32,30,0.04351478494623606
12,coex_TST,31,42,0.06382172842623568
13,coex_PIT,32,42,0.3882118725868726
14,coex_LVR,32,39,0.15227842809364556
15,coex_THY,32,33,0.6791852955787383
16,coex_PNC,28,36,0.2894345238095237
17,coex_ATC,31,38,0.3302889576883383
18,coex_BRO,35,38,0.23999382016685566
19,coex_SKN,36,42,0.17072091994692595
20,coex_ADS,29,38,0.8772321428571428
21,coex_GEJ,37,35,0.5652173913043477
22,coex_BRB,23,34,0.18244594280399884
23,coex_UTR,26,31,0.24404761904761862
24,coex_STM,33,39,0.46416083916083917
25,coex_HRA,31,33,0.19991827315994426
26,coex_PRS,27,35,0.18113853359754994
27,coex_ATA,30,32,0.6377940531852722
28,coex_FIB,26,34,0.06357466063348394
29,coex_BRC,33,37,0.14245934245934233
30,coex_ATT,31,39,0.5334396786009687
31,coex_TNV,25,35,0.383977272727273
32,coex_SPL,28,36,0.39841269841269833
33,coex_LCL,25,15,-0.026785714285714413
34,coex_CLS,35,41,0.5377248328467839
35,coex_EMC,33,44,0.20530303030303032
36,coex_CLT,34,44,0.17848484848484825
37,coex_core,38,42,0.5312272873248483
38,coex_WBL,33,27,0.22222222222222232
39,co-essential,10,7,0.6806722689075633
40,GOBP,12,20,0.015469208211143837
41,ppi,50,46,0.1251630434782609
42,reactome_copathway,15,15,0.523076923076923
43,MP,16,16,0.5194683908045978
44,HP,18,23,0.5240662189230587
45,GI_net,16,20,0.7250000000000001
46,gene_gene_on_CbG_name_mapped,11,6,-0.14260249554367221
47,gene_gene_on_GcG_name_mapped,33,34,-0.08886051028281039
48,GOMF,8,6,
