,Layer,Infection_of_bone nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,30,42,-0.33333333333333326
1,coex_BST,19,18,0.7732793522267207
2,coex_OVR,18,22,0.020959595959595845
3,coex_LNG,20,32,-0.026119890296460557
4,coex_ITI,20,38,0.04497607655502378
5,coex_VGN,16,25,-0.069420731707317
6,coex_HRV,17,17,0.4480280748663099
7,coex_MSG,24,23,0.40259661835748783
8,coex_ADV,34,26,0.6696832579185521
9,coex_EMS,27,19,0.919323398100987
10,coex_SMU,12,19,0.39888357256778306
11,coex_ARG,11,18,0.926680599094392
12,coex_TST,14,24,0.2509920634920635
13,coex_PIT,19,26,-0.1302843423406459
14,coex_LVR,27,30,-0.22417153996101358
15,coex_THY,9,29,-0.11513157894736858
16,coex_PNC,30,20,0.9522343420126671
17,coex_ATC,16,25,0.35457317073170724
18,coex_BRO,13,23,0.006781865477517801
19,coex_SKN,15,23,0.281400966183575
20,coex_ADS,24,24,1.8541666666666665
21,coex_GEJ,20,22,0.4970658353200075
22,coex_BRB,11,18,0.14858387799564277
23,coex_UTR,6,20,0.8928229665071767
24,coex_STM,22,28,0.22053744128212216
25,coex_HRA,18,20,0.3562500000000002
26,coex_PRS,12,25,0.3638709677419354
27,coex_ATA,28,24,0.3018518518518518
28,coex_FIB,6,17,0.29390451832907116
29,coex_BRC,8,24,0.04761904761904745
30,coex_ATT,26,26,0.04592870544090055
31,coex_TNV,31,20,0.8704921422663361
32,coex_SPL,25,36,0.2172128060263656
33,coex_LCL,7,18,0.05648291925465809
34,coex_CLS,17,35,0.23429217840982552
35,coex_EMC,15,25,0.33222222222222175
36,coex_CLT,16,30,0.10487804878048768
37,coex_core,41,35,0.20385395537525364
38,coex_WBL,24,32,0.24479166666666652
39,co-essential,7,4,0.4610389610389607
40,GOBP,23,20,0.6454248366013071
41,ppi,47,50,0.041691160342180345
42,reactome_copathway,16,21,0.004166666666666652
43,MP,13,19,-0.24960127591706538
44,HP,12,19,0.27044425580079223
45,GI_net,15,20,0.09166666666666656
46,gene_gene_on_CbG_name_mapped,14,15,-0.44991789819376027
47,gene_gene_on_GcG_name_mapped,29,33,-0.09636970371119435
48,GOMF,6,4,
