,Layer,Inflammatory_bowel_disease nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,40,31,0.28784119106699757
1,coex_BST,22,21,0.5179732548153599
2,coex_OVR,30,24,0.3652271741487745
3,coex_LNG,39,25,0.30657051282051295
4,coex_ITI,41,27,0.364790902810989
5,coex_VGN,27,28,0.36406186406186425
6,coex_HRV,28,40,1.6152310924369748
7,coex_MSG,39,44,0.5486877580251073
8,coex_ADV,32,20,0.6759615384615385
9,coex_EMS,25,34,0.36650326797385624
10,coex_SMU,26,36,0.7792252550317065
11,coex_ARG,25,21,0.4161111111111113
12,coex_TST,31,30,-0.06930195663670013
13,coex_PIT,32,26,0.17352313786948748
14,coex_LVR,36,18,0.3472222222222223
15,coex_THY,31,31,0.8582704186684971
16,coex_PNC,28,16,0.13986710963455184
17,coex_ATC,36,38,1.1766042358147621
18,coex_BRO,32,27,0.3451722379158819
19,coex_SKN,27,24,0.19744008714596983
20,coex_ADS,32,21,1.0519230769230772
21,coex_GEJ,31,24,0.7039215686274507
22,coex_BRB,26,21,0.4117956511573535
23,coex_UTR,19,22,0.8514671602906896
24,coex_STM,35,29,0.3480911330049261
25,coex_HRA,31,43,1.2014760539449933
26,coex_PRS,31,43,0.7386853562705746
27,coex_ATA,33,19,0.3329039381670964
28,coex_FIB,17,17,0.382352941176471
29,coex_BRC,29,30,0.19572158365261805
30,coex_ATT,26,29,0.3680371352785148
31,coex_TNV,26,26,0.44677996422182487
32,coex_SPL,29,23,0.1312111801242235
33,coex_LCL,27,24,0.44024725274725274
34,coex_CLS,32,28,0.4390906426816348
35,coex_EMC,33,19,0.7113151181525241
36,coex_CLT,33,24,0.5260416666666665
37,coex_core,41,41,1.0725609756097563
38,coex_WBL,39,34,1.0885692738633914
39,co-essential,7,11,-0.012923351158645513
40,GOBP,18,23,2.2465034965034967
41,ppi,49,49,0.30612244897959173
42,reactome_copathway,19,17,0.6618240037950667
43,MP,15,25,0.8700000000000001
44,HP,23,38,1.0279382526165737
45,GI_net,25,17,0.19287330316742102
46,gene_gene_on_CbG_name_mapped,8,11,0.5254186602870814
47,gene_gene_on_GcG_name_mapped,33,27,0.09680134680134689
48,GOMF,8,2,
