,Layer,Inflammatory_bowel_disease nodes,Renal_tubular_acidosis nodes,sAB
0,coex_KDN,40,41,0.6448474521259331
1,coex_BST,22,29,0.5006397543343357
2,coex_OVR,30,31,0.546162402669633
3,coex_LNG,39,33,0.5949100650593189
4,coex_ITI,41,30,0.511216076949502
5,coex_VGN,27,28,0.12627465127465154
6,coex_HRV,28,18,2.121031746031746
7,coex_MSG,39,34,0.2120498357404077
8,coex_ADV,32,29,1.1825738916256159
9,coex_EMS,25,28,0.17129629629629628
10,coex_SMU,26,28,0.7326516076516079
11,coex_ARG,25,33,0.23356359649122815
12,coex_TST,31,33,0.13906708211143703
13,coex_PIT,32,33,0.5259042033235579
14,coex_LVR,36,29,0.8412014230979747
15,coex_THY,31,26,0.6841867809609745
16,coex_PNC,28,26,0.5404965404965405
17,coex_ATC,36,27,0.4093915343915344
18,coex_BRO,32,28,0.5427083333333331
19,coex_SKN,27,30,0.40711500974658854
20,coex_ADS,32,19,0.8184747583243825
21,coex_GEJ,31,31,0.3696555494805902
22,coex_BRB,26,15,0.6560662914321456
23,coex_UTR,19,24,0.5093854615016737
24,coex_STM,35,29,0.47147475369458114
25,coex_HRA,31,31,1.1766036336670374
26,coex_PRS,31,28,0.24552545155993455
27,coex_ATA,33,29,0.6525974025974022
28,coex_FIB,17,26,0.25278859307587087
29,coex_BRC,29,30,0.7598772647574519
30,coex_ATT,26,29,0.2241379310344831
31,coex_TNV,26,11,0.22634718222953554
32,coex_SPL,29,32,0.7339285714285715
33,coex_LCL,27,25,0.5217948717948717
34,coex_CLS,32,28,0.7255740156843722
35,coex_EMC,33,29,0.2757440476190476
36,coex_CLT,33,30,0.6781922043010753
37,coex_core,41,38,0.6740657538154331
38,coex_WBL,39,36,0.7115384615384615
39,co-essential,7,18,-0.26388888888888884
40,GOBP,18,37,2.3636752136752137
41,ppi,49,49,0.2142857142857144
42,reactome_copathway,19,15,0.9623397435897434
43,MP,15,21,0.8214285714285712
44,HP,23,36,0.9167997216081225
45,GI_net,25,18,0.4107142857142856
46,gene_gene_on_CbG_name_mapped,8,17,0.6254411764705883
47,gene_gene_on_GcG_name_mapped,33,31,0.04154447702834796
48,GOMF,8,13,
