,Layer,Intracranial_swelling nodes,Ascites nodes,sAB
0,coex_KDN,36,43,0.15104379164966675
1,coex_BST,18,33,0.8939393939393936
2,coex_OVR,29,28,0.4821428571428572
3,coex_LNG,25,29,0.36135057471264354
4,coex_ITI,34,35,0.3235294117647056
5,coex_VGN,29,30,0.1733206448723692
6,coex_HRV,31,23,0.622316323227964
7,coex_MSG,33,38,-0.03701394972707073
8,coex_ADV,19,28,0.7518796992481205
9,coex_EMS,20,35,0.5164285714285715
10,coex_SMU,20,25,0.40722222222222193
11,coex_ARG,23,28,0.5857234198027039
12,coex_TST,30,35,0.11813186813186816
13,coex_PIT,33,33,0.23130099067599064
14,coex_LVR,34,31,0.379032258064516
15,coex_THY,22,32,0.9769136393560358
16,coex_PNC,25,36,0.8315873015873017
17,coex_ATC,16,37,0.27013167013167005
18,coex_BRO,35,34,0.3780070237050044
19,coex_SKN,28,33,0.5364065758802599
20,coex_ADS,25,29,0.9624776500638572
21,coex_GEJ,20,28,0.6291666666666664
22,coex_BRB,33,25,0.2521428571428572
23,coex_UTR,17,22,0.924342105263158
24,coex_STM,35,34,0.14705882352941213
25,coex_HRA,27,29,0.7579821200510857
26,coex_PRS,23,29,0.3834154351395731
27,coex_ATA,22,32,0.6206818181818186
28,coex_FIB,16,22,0.3142857142857145
29,coex_BRC,32,29,0.46502261164499714
30,coex_ATT,24,32,0.1212121212121211
31,coex_TNV,24,24,0.8897357723577235
32,coex_SPL,23,34,0.51421073479897
33,coex_LCL,15,25,0.5405405405405403
34,coex_CLS,32,25,0.9068553459119495
35,coex_EMC,27,35,0.36111111111111116
36,coex_CLT,30,34,0.25252100840336134
37,coex_core,36,41,0.5278455284552845
38,coex_WBL,27,31,1.35
39,co-essential,5,8,0.35865384615384643
40,GOBP,14,19,0.687782805429864
41,ppi,50,48,0.19277210884353724
42,reactome_copathway,21,15,0.4133333333333331
43,MP,10,14,0.14063714063714094
44,HP,20,26,0.34347826086956545
45,GI_net,13,17,-0.1443115707821585
46,gene_gene_on_CbG_name_mapped,23,6,0.36919040479760135
47,gene_gene_on_GcG_name_mapped,37,33,-0.14152334152334167
48,GOMF,3,11,
