,Layer,Intracranial_swelling nodes,Exanthem nodes,sAB
0,coex_KDN,36,44,0.19227994227994238
1,coex_BST,18,22,0.5857142857142859
2,coex_OVR,29,37,0.4635228546518868
3,coex_LNG,25,38,0.28004385964912304
4,coex_ITI,34,42,0.5955141080822575
5,coex_VGN,29,38,0.29313168968341374
6,coex_HRV,31,24,0.2633774599310206
7,coex_MSG,33,41,0.08368790076107158
8,coex_ADV,19,30,0.4502923976608191
9,coex_EMS,20,33,0.5305460263007435
10,coex_SMU,20,31,0.24941492726122716
11,coex_ARG,23,34,0.4637409904673331
12,coex_TST,30,38,0.02987616099071211
13,coex_PIT,33,35,0.2598421186656481
14,coex_LVR,34,40,0.07128378378378386
15,coex_THY,22,35,0.7084415584415584
16,coex_PNC,25,36,0.32667577413479054
17,coex_ATC,16,34,0.42072829131652645
18,coex_BRO,35,33,0.3363636363636364
19,coex_SKN,28,40,0.38125763125763124
20,coex_ADS,25,33,0.6138766980146286
21,coex_GEJ,20,40,0.853720508166969
22,coex_BRB,33,25,0.20965517241379317
23,coex_UTR,17,25,0.8791666666666664
24,coex_STM,35,37,0.25439441098098925
25,coex_HRA,27,31,0.6774608166117602
26,coex_PRS,23,26,0.19815291091886866
27,coex_ATA,22,31,0.46547335804791645
28,coex_FIB,16,20,0.5574162679425836
29,coex_BRC,32,27,0.37766792215944767
30,coex_ATT,24,35,0.2279659338482869
31,coex_TNV,24,24,0.4166666666666665
32,coex_SPL,23,42,0.2275432900432901
33,coex_LCL,15,19,0.572916666666667
34,coex_CLS,32,34,0.9029411764705881
35,coex_EMC,27,37,0.3891234984984986
36,coex_CLT,30,35,0.19624697336561736
37,coex_core,36,46,0.41920289855072457
38,coex_WBL,27,39,0.5641025641025643
39,co-essential,5,11,0.12045454545454515
40,GOBP,14,21,2.296153846153846
41,ppi,50,50,0.20999999999999996
42,reactome_copathway,21,21,0.1809523809523812
43,MP,10,10,-0.042690058479532667
44,HP,20,36,0.13531746031746028
45,GI_net,13,26,-0.00219780219780219
46,gene_gene_on_CbG_name_mapped,23,11,0.200418507323878
47,gene_gene_on_GcG_name_mapped,37,30,-0.10009412397472106
48,GOMF,3,9,
