,Layer,Intracranial_swelling nodes,Neoplasm_of_the_skin nodes,sAB
0,coex_KDN,36,44,0.008838383838383868
1,coex_BST,18,33,0.48051948051948057
2,coex_OVR,29,33,0.25699404761904754
3,coex_LNG,25,38,0.1396929824561406
4,coex_ITI,34,40,0.021383147853736295
5,coex_VGN,29,35,0.08954393770856517
6,coex_HRV,31,29,-0.07646356033452828
7,coex_MSG,33,44,-0.11850649350649367
8,coex_ADV,19,32,0.5148348813209491
9,coex_EMS,20,34,0.6180283224400869
10,coex_SMU,20,30,0.1416666666666666
11,coex_ARG,23,32,0.050861361771944225
12,coex_TST,30,38,-0.0235294117647058
13,coex_PIT,33,29,0.17613847035426566
14,coex_LVR,34,32,0.23721590909090917
15,coex_THY,22,33,0.6107775871926817
16,coex_PNC,25,31,0.3652534562211982
17,coex_ATC,16,38,0.0859649122807018
18,coex_BRO,35,37,0.05993740219092314
19,coex_SKN,28,38,0.28679503679503693
20,coex_ADS,25,36,0.2852380952380953
21,coex_GEJ,20,34,0.25791881074899914
22,coex_BRB,33,29,-0.09566184649610676
23,coex_UTR,17,30,0.49583333333333357
24,coex_STM,35,36,-0.029225023342670298
25,coex_HRA,27,32,0.228192007797271
26,coex_PRS,23,33,0.44396344396344434
27,coex_ATA,22,31,0.15320548282008728
28,coex_FIB,16,29,0.32296047098402036
29,coex_BRC,32,34,0.1379233511586453
30,coex_ATT,24,33,0.2156143982519696
31,coex_TNV,24,28,0.22638044579533956
32,coex_SPL,23,32,0.38015572390572405
33,coex_LCL,15,24,0.574030552291422
34,coex_CLS,32,32,0.10556770548569316
35,coex_EMC,27,31,0.27323232323232327
36,coex_CLT,30,33,0.059043778801843194
37,coex_core,36,46,0.23007246376811596
38,coex_WBL,27,38,0.5866580866580868
39,co-essential,5,10,0.06666666666666643
40,GOBP,14,16,0.6676923076923078
41,ppi,50,50,0.0
42,reactome_copathway,21,27,0.12454659161976256
43,MP,10,9,0.49918300653594816
44,HP,20,24,0.43825757575757596
45,GI_net,13,24,-0.22843035343035378
46,gene_gene_on_CbG_name_mapped,23,15,-0.21075514874141899
47,gene_gene_on_GcG_name_mapped,37,39,-0.10719626509100211
48,GOMF,3,4,
