,Layer,Joint_hemorrhage nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,38,35,-0.13904109589041092
1,coex_BST,17,20,0.10416666666666696
2,coex_OVR,26,20,0.2624581939799331
3,coex_LNG,33,28,-0.2912457912457913
4,coex_ITI,25,25,-0.23999999999999977
5,coex_VGN,30,32,-0.2293154761904761
6,coex_HRV,21,13,0.7038353803059683
7,coex_MSG,37,27,-0.26564064064064064
8,coex_ADV,23,28,0.41259409055162344
9,coex_EMS,21,19,0.1401098901098905
10,coex_SMU,27,16,-0.31589147286821717
11,coex_ARG,21,17,-0.1352941176470588
12,coex_TST,30,27,-0.3159844054580896
13,coex_PIT,27,21,-0.42617056856187285
14,coex_LVR,40,38,-0.20340755735492588
15,coex_THY,26,24,0.1496996792027847
16,coex_PNC,29,27,0.0159642401021709
17,coex_ATC,31,21,-0.06888810114616595
18,coex_BRO,27,18,-0.8037037037037038
19,coex_SKN,30,28,-0.1792328042328042
20,coex_ADS,31,18,0.2548460244312776
21,coex_GEJ,20,22,0.8499325236167343
22,coex_BRB,20,15,-0.24404761904761907
23,coex_UTR,9,14,0.7995129870129873
24,coex_STM,30,31,0.16401374933897417
25,coex_HRA,18,27,0.10826210826210803
26,coex_PRS,21,24,-0.7835317460317461
27,coex_ATA,31,15,0.1806451612903226
28,coex_FIB,13,12,-0.9042307692307692
29,coex_BRC,17,21,-0.40592903828197957
30,coex_ATT,30,20,0.1191489361702125
31,coex_TNV,26,18,0.2901291989664081
32,coex_SPL,35,35,-0.35714285714285743
33,coex_LCL,8,5,-0.6458333333333335
34,coex_CLS,20,27,-0.34224126206990313
35,coex_EMC,32,23,0.11564294503691541
36,coex_CLT,27,27,0.03846153846153855
37,coex_core,31,28,0.01147642679900751
38,coex_WBL,31,20,-0.050253004427577075
39,co-essential,0,6,
40,GOBP,29,29,-0.49358974358974383
41,ppi,49,50,-0.4146011131725418
42,reactome_copathway,21,21,-0.4399245063879209
43,MP,22,13,-0.04166666666666696
44,HP,24,24,-0.14583333333333348
45,GI_net,8,16,-0.4375
46,gene_gene_on_CbG_name_mapped,16,23,-0.3675097547380156
47,gene_gene_on_GcG_name_mapped,33,36,-0.7731115502854633
48,GOMF,7,8,
