,Layer,Laryngeal_edema nodes,Facial_paralysis nodes,sAB
0,coex_KDN,48,45,0.12100625823451905
1,coex_BST,32,35,0.23295454545454541
2,coex_OVR,37,37,0.17567567567567566
3,coex_LNG,42,43,0.22324929971988805
4,coex_ITI,43,41,-0.00322772330713339
5,coex_VGN,45,42,0.20490196078431389
6,coex_HRV,30,26,0.30868945868945885
7,coex_MSG,48,44,0.02313899868247682
8,coex_ADV,31,36,0.5170138888888887
9,coex_EMS,39,41,0.3985921010953102
10,coex_SMU,40,38,0.12447705802968967
11,coex_ARG,34,39,0.4993491601066138
12,coex_TST,46,42,0.12979954827780937
13,coex_PIT,44,41,0.1493413329855222
14,coex_LVR,40,36,0.20540935672514604
15,coex_THY,38,40,0.6943735788364482
16,coex_PNC,41,39,0.3924327704815509
17,coex_ATC,39,44,0.10607464824332302
18,coex_BRO,42,39,0.22456247456247458
19,coex_SKN,47,41,0.21340284002453158
20,coex_ADS,34,31,0.3792147131805579
21,coex_GEJ,38,39,0.5376773534668273
22,coex_BRB,31,30,0.15465819721718121
23,coex_UTR,25,32,0.2142857142857144
24,coex_STM,44,39,0.25798649142022634
25,coex_HRA,41,40,0.4449638663053299
26,coex_PRS,34,41,0.2391020223659126
27,coex_ATA,39,38,0.1569658411763677
28,coex_FIB,36,34,0.09817927170868335
29,coex_BRC,42,42,0.06097910806991025
30,coex_ATT,39,42,0.3685388685388684
31,coex_TNV,26,24,1.1152452619843922
32,coex_SPL,45,37,0.3853805024536734
33,coex_LCL,19,22,0.12649115590292048
34,coex_CLS,44,41,0.30905113037841336
35,coex_EMC,41,37,0.27088609790792084
36,coex_CLT,46,39,0.01445340678077267
37,coex_core,46,45,0.43854647767691235
38,coex_WBL,34,32,0.4357830973580499
39,co-essential,8,6,0.41969696969696946
40,GOBP,18,25,0.21426024955436684
41,ppi,50,50,0.10000000000000009
42,reactome_copathway,11,14,0.1071428571428572
43,MP,14,16,0.46428571428571397
44,HP,21,34,0.5971407430896889
45,GI_net,13,20,0.0761072261072262
46,gene_gene_on_CbG_name_mapped,7,5,0.23809523809523792
47,gene_gene_on_GcG_name_mapped,31,39,0.02092638544251435
48,GOMF,3,6,
