,Layer,Macular_degeneration nodes,Breast_neoplasm nodes,sAB
0,coex_KDN,38,43,0.19847530108648015
1,coex_BST,19,37,-0.07573027573027558
2,coex_OVR,33,33,0.2128427128427126
3,coex_LNG,27,41,0.02937062937062951
4,coex_ITI,35,43,-0.03804412641621946
5,coex_VGN,34,39,0.3224884753468018
6,coex_HRV,24,17,0.06666666666666643
7,coex_MSG,36,43,0.08233980963595355
8,coex_ADV,22,25,0.19572533849129625
9,coex_EMS,25,35,-0.1509523809523805
10,coex_SMU,27,34,0.2223006905210294
11,coex_ARG,26,30,-0.010256410256409776
12,coex_TST,34,42,-0.03353973168214641
13,coex_PIT,31,32,-0.06570020481310812
14,coex_LVR,31,35,0.3266582879486106
15,coex_THY,28,33,0.23726062073519705
16,coex_PNC,29,31,0.1490545050055614
17,coex_ATC,29,38,-0.11018684771630571
18,coex_BRO,32,32,-0.015625
19,coex_SKN,35,38,0.27828394515701027
20,coex_ADS,27,30,0.22938268627923808
21,coex_GEJ,21,35,0.17570806100217862
22,coex_BRB,29,23,0.32394517027200664
23,coex_UTR,24,35,0.23018563357546418
24,coex_STM,33,44,0.044372294372294396
25,coex_HRA,34,32,0.2720588235294117
26,coex_PRS,31,34,0.12239819004524888
27,coex_ATA,30,32,0.31002115282919096
28,coex_FIB,27,36,-0.012995391705069137
29,coex_BRC,31,33,-0.15102639296187692
30,coex_ATT,30,34,0.3319136562671048
31,coex_TNV,28,21,0.4070415400202636
32,coex_SPL,33,39,0.10479797979797967
33,coex_LCL,14,31,0.5551715309779826
34,coex_CLS,33,38,0.04732681506136904
35,coex_EMC,30,38,0.1283281733746131
36,coex_CLT,35,45,0.03504273504273514
37,coex_core,37,44,0.21525096525096532
38,coex_WBL,30,32,0.04654503789881903
39,co-essential,4,21,1.25
40,GOBP,27,8,-0.002873563218391162
41,ppi,50,50,0.2599999999999998
42,reactome_copathway,10,33,-0.09368070953436813
43,MP,18,12,1.630790665273424
44,HP,30,25,1.0575757575757576
45,GI_net,10,35,0.20909090909090922
46,gene_gene_on_CbG_name_mapped,8,17,0.09544117647058825
47,gene_gene_on_GcG_name_mapped,36,40,-0.08362573099415194
48,GOMF,5,2,
