,Layer,Macular_degeneration nodes,Sarcoma nodes,sAB
0,coex_KDN,38,38,0.06294452347083923
1,coex_BST,19,26,0.11441336441336425
2,coex_OVR,33,34,0.6464646464646462
3,coex_LNG,27,34,0.26663308442969447
4,coex_ITI,35,31,0.19775171065493646
5,coex_VGN,34,29,0.203371795298108
6,coex_HRV,24,24,0.7083333333333335
7,coex_MSG,36,36,0.0972222222222221
8,coex_ADV,22,31,0.4332291263210317
9,coex_EMS,25,32,0.2742396313364055
10,coex_SMU,27,25,0.09353276353276341
11,coex_ARG,26,29,-0.07837445573294621
12,coex_TST,34,37,-0.07608208871671995
13,coex_PIT,31,35,-0.20399385560675887
14,coex_LVR,31,30,0.1317821258593337
15,coex_THY,28,28,0.5562169312169312
16,coex_PNC,29,30,0.20066545674531167
17,coex_ATC,29,34,-0.0046918767507007075
18,coex_BRO,32,36,0.10819562899786783
19,coex_SKN,35,31,-0.0204641658152096
20,coex_ADS,27,27,0.3269230769230771
21,coex_GEJ,21,33,0.6365612648221344
22,coex_BRB,29,29,0.2515964240102173
23,coex_UTR,24,31,0.27874276261373065
24,coex_STM,33,34,0.23998989012158467
25,coex_HRA,34,28,0.22920168067226898
26,coex_PRS,31,29,0.3195402298850576
27,coex_ATA,30,28,0.7704678362573101
28,coex_FIB,27,30,-0.10495530012771392
29,coex_BRC,31,37,0.2402182240891917
30,coex_ATT,30,28,0.65204290567267
31,coex_TNV,28,22,0.7292207792207792
32,coex_SPL,33,27,0.05572390572390584
33,coex_LCL,14,24,0.24815343293604153
34,coex_CLS,33,34,0.6375586219336218
35,coex_EMC,30,32,0.1343749999999999
36,coex_CLT,35,32,0.17947214076246332
37,coex_core,37,39,0.2754677754677757
38,coex_WBL,30,32,0.11142473118279561
39,co-essential,4,21,1.0176767676767682
40,GOBP,27,7,1.032051282051282
41,ppi,50,50,0.25
42,reactome_copathway,10,26,0.012019230769230838
43,MP,18,8,1.4441269841269841
44,HP,30,22,0.8194638694638696
45,GI_net,10,32,0.3062499999999999
46,gene_gene_on_CbG_name_mapped,8,13,-0.1737637362637363
47,gene_gene_on_GcG_name_mapped,36,37,4.113702743846481e-05
48,GOMF,5,3,
