,Layer,Mastocytosis nodes,West_syndrome nodes,sAB
0,coex_KDN,42,46,0.4987120227261783
1,coex_BST,22,37,0.16035353535353547
2,coex_OVR,29,38,0.1708156134030392
3,coex_LNG,33,38,1.0065424444594202
4,coex_ITI,33,40,0.3276785714285715
5,coex_VGN,33,40,0.3072592361975923
6,coex_HRV,22,23,1.0227272727272725
7,coex_MSG,33,42,0.11597402597402606
8,coex_ADV,26,35,0.4945775535939472
9,coex_EMS,35,40,0.7722997722997724
10,coex_SMU,20,39,0.5080834419817473
11,coex_ARG,27,40,0.41159673659673657
12,coex_TST,31,44,0.20766862170087985
13,coex_PIT,29,43,0.42495322106388667
14,coex_LVR,27,38,0.24694107062528103
15,coex_THY,22,37,0.5816432765585304
16,coex_PNC,23,37,0.4997453975714845
17,coex_ATC,32,39,0.44810520361990935
18,coex_BRO,32,42,0.7734975359171399
19,coex_SKN,33,41,0.3512714488324242
20,coex_ADS,30,21,0.9458333333333333
21,coex_GEJ,33,36,1.3923473869126042
22,coex_BRB,25,20,0.6602272727272729
23,coex_UTR,24,34,0.42216886754701877
24,coex_STM,29,39,0.20391896811775112
25,coex_HRA,21,38,0.3814882032667879
26,coex_PRS,26,36,0.5551419906258617
27,coex_ATA,28,38,0.6496710526315788
28,coex_FIB,16,35,0.143890056022409
29,coex_BRC,23,42,0.4362318840579711
30,coex_ATT,29,38,1.5239117479751876
31,coex_TNV,24,16,1.1967261904761903
32,coex_SPL,27,43,0.2401008982404329
33,coex_LCL,20,27,0.01662726556343541
34,coex_CLS,29,38,0.38268277487336455
35,coex_EMC,28,35,0.3401053864168617
36,coex_CLT,35,38,0.469770013268465
37,coex_core,36,39,0.6956410256410257
38,coex_WBL,32,36,0.4872344771241828
39,co-essential,8,11,1.5930023923444976
40,GOBP,13,22,0.23851148851148807
41,ppi,48,49,0.248529437548215
42,reactome_copathway,20,18,0.84375
43,MP,9,5,2.95
44,HP,18,34,0.5310457516339868
45,GI_net,22,20,-0.05367965367965377
46,gene_gene_on_CbG_name_mapped,14,12,-0.07738095238095233
47,gene_gene_on_GcG_name_mapped,26,33,0.10183319505353405
48,GOMF,6,4,
