,Layer,Melanoma nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,46,31,0.12151049972141648
1,coex_BST,46,21,0.1234426646325959
2,coex_OVR,45,24,0.14885265700483075
3,coex_LNG,45,25,0.19047619047619024
4,coex_ITI,45,27,-0.04907407407407405
5,coex_VGN,44,28,0.1564323357801618
6,coex_HRV,16,40,0.47152777777777777
7,coex_MSG,47,44,0.4366511148426042
8,coex_ADV,40,20,0.04166666666666696
9,coex_EMS,45,34,0.18342245989304806
10,coex_SMU,45,36,0.4666666666666668
11,coex_ARG,45,21,0.2318376068376069
12,coex_TST,47,30,-0.048342083448466466
13,coex_PIT,47,26,0.019561464475483792
14,coex_LVR,44,18,-0.04622841316389725
15,coex_THY,34,31,1.3594686907020876
16,coex_PNC,44,16,0.36271186440677994
17,coex_ATC,47,38,0.783378755784617
18,coex_BRO,42,27,0.2500575109270762
19,coex_SKN,46,24,0.13586956521739135
20,coex_ADS,28,21,1.1287037037037035
21,coex_GEJ,44,24,0.2005244755244755
22,coex_BRB,21,21,0.6011904761904763
23,coex_UTR,45,22,-0.052125734961556036
24,coex_STM,45,29,0.36771254012633303
25,coex_HRA,45,43,0.3388947615691802
26,coex_PRS,44,43,0.45731270199995144
27,coex_ATA,37,19,0.3729000531632112
28,coex_FIB,45,17,0.08198912948189707
29,coex_BRC,44,30,0.06554677206851123
30,coex_ATT,42,29,0.4418234861227921
31,coex_TNV,12,26,0.38961038961038996
32,coex_SPL,44,23,0.10659400625331839
33,coex_LCL,40,24,0.015476190476190421
34,coex_CLS,45,28,0.23494363929146522
35,coex_EMC,45,19,0.2351065836634596
36,coex_CLT,45,24,0.12995169082125613
37,coex_core,45,41,0.8791134339914826
38,coex_WBL,44,34,0.996078431372549
39,co-essential,27,11,0.8852768852768853
40,GOBP,11,23,1.9924242424242427
41,ppi,50,49,0.24179962894248597
42,reactome_copathway,32,17,0.4958150813516897
43,MP,10,25,0.42984848484848515
44,HP,30,38,0.9871517027863779
45,GI_net,39,17,0.0678733031674208
46,gene_gene_on_CbG_name_mapped,14,11,0.1553246753246753
47,gene_gene_on_GcG_name_mapped,41,27,-0.0034008183219085275
48,GOMF,2,2,
