,Layer,Migraine nodes,Menorrhagia nodes,sAB
0,coex_KDN,39,36,0.0822222222222222
1,coex_BST,26,26,0.16923076923076907
2,coex_OVR,29,24,0.13966601604857942
3,coex_LNG,28,27,0.833333333333333
4,coex_ITI,33,32,0.028707750582750657
5,coex_VGN,34,31,-0.01580791125383163
6,coex_HRV,22,21,1.1584868619752342
7,coex_MSG,35,34,0.1996163682864449
8,coex_ADV,30,19,0.3762262799856786
9,coex_EMS,25,21,0.5276190476190479
10,coex_SMU,27,22,0.12012987012987031
11,coex_ARG,26,19,0.5123684210526318
12,coex_TST,37,31,-0.022167803477101344
13,coex_PIT,33,32,0.05573593073593064
14,coex_LVR,27,32,0.3878197583176395
15,coex_THY,28,22,0.5187662337662338
16,coex_PNC,25,27,0.2997586726998489
17,coex_ATC,34,25,0.15485543369890298
18,coex_BRO,39,28,0.36975151713957666
19,coex_SKN,29,29,-0.05172413793103425
20,coex_ADS,29,20,0.19612948627726956
21,coex_GEJ,25,23,0.6440942028985508
22,coex_BRB,31,23,0.26831373395188285
23,coex_UTR,25,19,0.8313397129186604
24,coex_STM,34,30,0.2620098039215686
25,coex_HRA,27,25,0.17742374727668864
26,coex_PRS,28,27,0.15028202056503925
27,coex_ATA,30,23,0.45380092972381725
28,coex_FIB,19,20,-0.10526315789473717
29,coex_BRC,33,28,0.1532394159512802
30,coex_ATT,32,30,0.49575551782682536
31,coex_TNV,24,18,0.23958333333333304
32,coex_SPL,27,29,0.21363165377479
33,coex_LCL,9,19,-0.14348370927318266
34,coex_CLS,28,23,0.10234746072341938
35,coex_EMC,27,29,0.1998722860791824
36,coex_CLT,29,28,0.17030723360124433
37,coex_core,34,29,0.1423298614622308
38,coex_WBL,15,35,0.5457142857142858
39,co-essential,3,8,1.8392857142857144
40,GOBP,16,30,0.8180884121892542
41,ppi,50,50,0.3599999999999999
42,reactome_copathway,17,25,1.0499358974358972
43,MP,16,22,1.0534798534798537
44,HP,26,33,0.43243160348423504
45,GI_net,16,17,-0.10338680926916188
46,gene_gene_on_CbG_name_mapped,11,9,0.17828282828282838
47,gene_gene_on_GcG_name_mapped,39,33,0.08207070707070696
48,GOMF,4,6,
