,Layer,Multiple_myeloma nodes,Kaposi_sarcoma nodes,sAB
0,coex_KDN,43,40,-0.312128747548333
1,coex_BST,24,21,-0.1873015873015873
2,coex_OVR,30,34,-0.29067071577847425
3,coex_LNG,38,33,-0.05016447368421062
4,coex_ITI,40,38,-0.1479925775978408
5,coex_VGN,28,27,-0.06803751803751834
6,coex_HRV,31,27,-0.014141414141414232
7,coex_MSG,41,35,-0.27095176966807255
8,coex_ADV,36,25,-0.1694444444444445
9,coex_EMS,34,23,-0.4609301386458471
10,coex_SMU,27,28,-0.14449254449254467
11,coex_ARG,24,23,-0.39769433465085613
12,coex_TST,37,34,-0.04087641908685824
13,coex_PIT,41,31,-0.09305883381414448
14,coex_LVR,37,37,-0.17567567567567566
15,coex_THY,32,27,-0.08562853107344681
16,coex_PNC,28,25,-0.11446091644204848
17,coex_ATC,32,29,-0.31034482758620663
18,coex_BRO,39,32,-0.08599110689779699
19,coex_SKN,29,26,0.09604533397636827
20,coex_ADS,32,27,0.051900584795321336
21,coex_GEJ,32,36,-0.36433531746031744
22,coex_BRB,32,29,-0.14649122807017534
23,coex_UTR,20,19,-0.17777777777777803
24,coex_STM,39,37,-0.2771638034795929
25,coex_HRA,30,31,-0.10046347793845034
26,coex_PRS,30,34,-0.2789363590263694
27,coex_ATA,30,23,-0.1879135903746243
28,coex_FIB,30,25,-0.21777777777777763
29,coex_BRC,35,28,-0.01746031746031762
30,coex_ATT,29,26,-0.21854352544007716
31,coex_TNV,35,26,-0.23617366240317073
32,coex_SPL,27,25,-0.09216524216524213
33,coex_LCL,27,22,-0.2865675990675991
34,coex_CLS,37,34,-0.08165611337253109
35,coex_EMC,27,29,-0.5858191935778143
36,coex_CLT,38,34,-0.08294792118321515
37,coex_core,40,35,-0.22916666666666674
38,coex_WBL,33,29,-0.5129268210469546
39,co-essential,14,9,-0.5757575757575757
40,GOBP,7,17,0.8005279034690798
41,ppi,50,45,-0.13432748538011707
42,reactome_copathway,20,24,-0.1426691729323306
43,MP,15,12,-0.3931438127090301
44,HP,19,14,0.00495557074504438
45,GI_net,30,23,-0.4131503716409377
46,gene_gene_on_CbG_name_mapped,10,17,0.005010893246187198
47,gene_gene_on_GcG_name_mapped,31,25,-0.2391244239631336
48,GOMF,5,10,
