,Layer,Multiple_myeloma nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,43,31,0.22747829814596532
1,coex_BST,24,21,0.5590500641848526
2,coex_OVR,30,24,0.3561185209282156
3,coex_LNG,38,25,-0.0007101086048453276
4,coex_ITI,40,27,0.22072277501381987
5,coex_VGN,28,28,0.05660377358490587
6,coex_HRV,31,40,1.3589285714285713
7,coex_MSG,41,44,0.289255901917308
8,coex_ADV,36,20,0.23769841269841274
9,coex_EMS,34,34,0.3141711229946522
10,coex_SMU,27,36,0.6005291005291005
11,coex_ARG,24,21,0.24249241658240628
12,coex_TST,37,30,-0.2652077450584913
13,coex_PIT,41,26,0.3212735571672596
14,coex_LVR,37,18,0.09675129675129668
15,coex_THY,32,31,0.6743951612903225
16,coex_PNC,28,16,0.0937707641196015
17,coex_ATC,32,38,0.7025692770268437
18,coex_BRO,39,27,0.13234913234913215
19,coex_SKN,29,24,-0.08563760572543888
20,coex_ADS,32,21,0.5100000000000002
21,coex_GEJ,32,24,0.5857780612244898
22,coex_BRB,32,21,0.33935574229691867
23,coex_UTR,20,22,0.165909090909091
24,coex_STM,39,29,0.13964737088469326
25,coex_HRA,30,43,0.6791856009979504
26,coex_PRS,30,43,0.46083934776797664
27,coex_ATA,30,19,0.015288220551378462
28,coex_FIB,30,17,0.23145780051150888
29,coex_BRC,35,30,0.1071428571428572
30,coex_ATT,29,29,0.22082228116710878
31,coex_TNV,35,26,0.45329670329670346
32,coex_SPL,27,23,0.1510789049919481
33,coex_LCL,27,24,0.24427655677655657
34,coex_CLS,37,28,0.499074074074074
35,coex_EMC,27,19,0.5461633882686514
36,coex_CLT,38,24,0.3354710642846237
37,coex_core,40,41,0.8100532571781414
38,coex_WBL,33,34,0.9517602495543671
39,co-essential,14,11,-0.28181818181818175
40,GOBP,7,23,0.9339826839826841
41,ppi,50,49,0.28361781076066794
42,reactome_copathway,20,17,0.74437564499484
43,MP,15,25,0.8139271255060736
44,HP,19,38,0.6359649122807021
45,GI_net,30,17,-0.01981304149566787
46,gene_gene_on_CbG_name_mapped,10,11,0.28008658008657994
47,gene_gene_on_GcG_name_mapped,31,27,-0.004902566637827954
48,GOMF,5,2,
