,Layer,Myelodysplastic_syndrome nodes,Blepharitis nodes,sAB
0,coex_KDN,45,43,0.08850129198966394
1,coex_BST,38,41,-0.025621130628361577
2,coex_OVR,39,41,-0.1664321450906816
3,coex_LNG,44,45,0.21501532175689464
4,coex_ITI,45,42,-0.02438423645320187
5,coex_VGN,43,42,0.06066705752068291
6,coex_HRV,22,15,0.4591291061879299
7,coex_MSG,44,45,0.06648791283622746
8,coex_ADV,37,39,0.13876068376068385
9,coex_EMS,39,42,-0.09367792701126021
10,coex_SMU,34,41,-0.027427068388330866
11,coex_ARG,35,41,-0.04263708050614334
12,coex_TST,45,45,0.10000000000000009
13,coex_PIT,36,44,0.046338383838383956
14,coex_LVR,41,44,0.137742924220686
15,coex_THY,33,25,0.1701388888888884
16,coex_PNC,36,41,0.161189420335762
17,coex_ATC,41,42,0.0893341076267904
18,coex_BRO,39,38,0.2170680196995991
19,coex_SKN,42,43,0.024498284849958196
20,coex_ADS,29,19,1.1165649232799866
21,coex_GEJ,40,41,0.009311954230653452
22,coex_BRB,21,14,0.6775210084033616
23,coex_UTR,37,37,-0.14966903523241548
24,coex_STM,43,41,0.2864840774653594
25,coex_HRA,39,38,-0.06578947368421062
26,coex_PRS,42,41,0.05025677623385527
27,coex_ATA,32,36,0.25745506535947715
28,coex_FIB,41,40,0.09793360433604348
29,coex_BRC,36,40,0.10614035087719276
30,coex_ATT,41,42,0.28485772357723604
31,coex_TNV,19,14,0.6666666666666665
32,coex_SPL,42,41,-0.012436505604298764
33,coex_LCL,38,39,0.06746325272641074
34,coex_CLS,40,42,-0.023359465737514684
35,coex_EMC,44,42,0.03672103090707757
36,coex_CLT,44,43,0.016785959907282155
37,coex_core,47,43,0.15060493009309317
38,coex_WBL,41,41,0.19818955133995786
39,co-essential,25,22,0.3635353535353536
40,GOBP,15,21,1.1901315789473683
41,ppi,50,50,0.24
42,reactome_copathway,25,25,0.17613636363636354
43,MP,11,13,-0.5566534914361001
44,HP,32,36,0.15451388888888884
45,GI_net,37,29,0.007201558925697071
46,gene_gene_on_CbG_name_mapped,7,4,0.44967532467532445
47,gene_gene_on_GcG_name_mapped,38,35,-0.04035431043361837
48,GOMF,3,4,
