,Layer,Neoplasm_of_esophagus nodes,Neoplasm_of_stomach nodes,sAB
0,coex_KDN,43,45,-0.36796536796536783
1,coex_BST,29,35,-0.2448275862068967
2,coex_OVR,35,32,-0.47815712707808244
3,coex_LNG,38,45,-0.19839357429718874
4,coex_ITI,42,40,-0.5406649245063877
5,coex_VGN,34,36,-0.53874883286648
6,coex_HRV,26,29,-0.016551724137931156
7,coex_MSG,41,44,-0.4584126777096649
8,coex_ADV,24,27,-0.23365539452495998
9,coex_EMS,32,31,-0.26881720430107525
10,coex_SMU,33,29,-0.35065898135976004
11,coex_ARG,38,29,-0.4186647462509532
12,coex_TST,43,44,-0.36709921994605255
13,coex_PIT,41,40,-0.4325165612767239
14,coex_LVR,37,35,-0.28997211497211506
15,coex_THY,37,40,-0.47539847539847546
16,coex_PNC,38,35,-0.39690493356679357
17,coex_ATC,41,34,-0.5076406783723857
18,coex_BRO,38,37,-0.4008345187292557
19,coex_SKN,37,35,-0.4046546546546548
20,coex_ADS,32,38,-0.5516610360360359
21,coex_GEJ,27,33,-0.2864724576271185
22,coex_BRB,34,32,-0.30417223707664887
23,coex_UTR,25,26,-0.2577828054298643
24,coex_STM,38,42,-0.33063909774436095
25,coex_HRA,30,31,-0.5568217874140666
26,coex_PRS,27,30,-0.7832417582417581
27,coex_ATA,32,29,-0.38451563413208634
28,coex_FIB,34,35,-0.5326983065953654
29,coex_BRC,36,35,-0.3042250233426702
30,coex_ATT,36,31,-0.33072100313479624
31,coex_TNV,25,24,-0.5833333333333333
32,coex_SPL,34,35,-0.30242966751918154
33,coex_LCL,18,26,-0.6771561771561772
34,coex_CLS,39,35,-0.36421479434822635
35,coex_EMC,38,37,-0.5342642642642641
36,coex_CLT,39,34,-0.39057625157544584
37,coex_core,40,42,-0.3023809523809524
38,coex_WBL,38,39,-0.43090681248576
39,co-essential,12,17,-1.2630718954248366
40,GOBP,15,10,-0.6238761238761237
41,ppi,50,50,-0.3699999999999999
42,reactome_copathway,33,32,-0.22048611111111116
43,MP,11,12,0.5181818181818185
44,HP,19,27,-0.36888719382998536
45,GI_net,31,32,-0.4776065668202767
46,gene_gene_on_CbG_name_mapped,16,17,-0.33255347593582896
47,gene_gene_on_GcG_name_mapped,29,33,-0.4812417838001819
48,GOMF,8,3,
