,Layer,Nephrotic_syndrome nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,43,36,0.18378552971576223
1,coex_BST,19,18,0.4730576441102756
2,coex_OVR,23,29,0.15983132383388154
3,coex_LNG,28,25,0.11163076341647793
4,coex_ITI,35,34,0.3037876019973209
5,coex_VGN,29,29,0.10344827586206917
6,coex_HRV,22,31,0.4011557702259787
7,coex_MSG,31,33,0.11299486803519043
8,coex_ADV,25,19,0.5721727395411604
9,coex_EMS,20,20,0.17499999999999982
10,coex_SMU,22,20,0.0858225108225108
11,coex_ARG,19,23,0.3946796338672769
12,coex_TST,31,30,0.014304600740349116
13,coex_PIT,31,33,0.12118157380254146
14,coex_LVR,39,34,0.15955391640323136
15,coex_THY,26,22,0.5340404040404039
16,coex_PNC,29,25,0.18318302387267904
17,coex_ATC,24,16,0.19775641025641022
18,coex_BRO,27,35,0.10163934426229493
19,coex_SKN,31,28,0.08064516129032251
20,coex_ADS,21,25,0.31908902691511365
21,coex_GEJ,23,20,0.4413573700954396
22,coex_BRB,25,33,0.011034482758620845
23,coex_UTR,18,17,0.5789884135472372
24,coex_STM,33,35,0.1807273791470454
25,coex_HRA,25,27,0.3987875343374063
26,coex_PRS,27,23,0.02876984126984139
27,coex_ATA,27,22,0.10843125128839404
28,coex_FIB,19,16,0.17145135566188197
29,coex_BRC,29,32,0.24481297486849796
30,coex_ATT,27,24,0.05161505161505131
31,coex_TNV,20,24,0.21856060606060623
32,coex_SPL,35,23,0.20445431761221222
33,coex_LCL,10,15,0.17460317460317443
34,coex_CLS,34,32,0.1335784313725492
35,coex_EMC,24,27,0.12581699346405228
36,coex_CLT,31,30,0.1231156760134342
37,coex_core,35,36,0.3112745098039216
38,coex_WBL,32,27,0.7209821428571428
39,co-essential,4,5,0.005555555555555536
40,GOBP,22,14,0.5100732600732605
41,ppi,50,50,0.030000000000000027
42,reactome_copathway,26,21,0.3055972482801752
43,MP,17,10,0.5155857214680744
44,HP,25,20,0.15222222222222226
45,GI_net,15,13,-0.07582417582417555
46,gene_gene_on_CbG_name_mapped,14,23,0.12434950478428752
47,gene_gene_on_GcG_name_mapped,30,37,-0.1035767110393977
48,GOMF,8,3,
