,Layer,Nocturia nodes,Glaucoma nodes,sAB
0,coex_KDN,45,39,0.26471306471306466
1,coex_BST,31,21,0.23979591836734682
2,coex_OVR,35,35,-0.057142857142857384
3,coex_LNG,40,33,0.1972222222222224
4,coex_ITI,39,37,0.0916128679286572
5,coex_VGN,40,40,0.16398085037325538
6,coex_HRV,13,26,0.4615384615384617
7,coex_MSG,43,41,0.12975717797045094
8,coex_ADV,31,19,0.3378961516694967
9,coex_EMS,37,29,0.1242864631873255
10,coex_SMU,33,29,0.4457140931000776
11,coex_ARG,35,29,0.5763238916256159
12,coex_TST,39,41,-0.012202939337085716
13,coex_PIT,41,38,0.030252189597179013
14,coex_LVR,37,37,0.2289789789789789
15,coex_THY,31,32,0.9306835637480795
16,coex_PNC,37,34,0.17738095238095264
17,coex_ATC,33,32,0.23234577922077904
18,coex_BRO,38,33,0.35127591706539096
19,coex_SKN,39,36,0.36935897435897425
20,coex_ADS,21,26,1.078266178266178
21,coex_GEJ,34,27,0.2473604826546003
22,coex_BRB,16,27,0.3013027562446169
23,coex_UTR,37,28,0.43915790790790776
24,coex_STM,39,39,0.2657657657657657
25,coex_HRA,39,26,0.25976800976800973
26,coex_PRS,35,28,-0.06825396825396846
27,coex_ATA,30,30,0.8166666666666664
28,coex_FIB,36,27,0.2252894954507858
29,coex_BRC,35,35,0.014285714285714235
30,coex_ATT,32,32,0.446404569892473
31,coex_TNV,11,28,0.6427738927738931
32,coex_SPL,36,27,0.3626290224650881
33,coex_LCL,28,13,0.37670865719646196
34,coex_CLS,38,30,0.07377974989915281
35,coex_EMC,38,32,0.033106203007518875
36,coex_CLT,39,37,0.3836488310172521
37,coex_core,42,37,0.3192953929539297
38,coex_WBL,35,27,0.5429083461341526
39,co-essential,16,6,0.27916666666666634
40,GOBP,21,9,0.8034851621808139
41,ppi,48,49,0.23684383547233323
42,reactome_copathway,13,23,0.7175324675324677
43,MP,17,11,0.1020833333333333
44,HP,25,20,0.4694444444444441
45,GI_net,23,21,0.2686853002070393
46,gene_gene_on_CbG_name_mapped,12,9,0.251984126984127
47,gene_gene_on_GcG_name_mapped,38,38,0.0
48,GOMF,2,2,
