,Layer,Pityriasis_rubra_pilaris nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,37,36,-0.016977691977692055
1,coex_BST,28,18,0.6403508771929824
2,coex_OVR,32,29,0.10074404761904754
3,coex_LNG,32,25,0.49131944444444464
4,coex_ITI,31,34,0.34284046124653345
5,coex_VGN,30,29,0.20284331518451282
6,coex_HRV,16,31,0.7098790322580646
7,coex_MSG,36,33,0.03820816864295096
8,coex_ADV,33,19,0.30034908700322216
9,coex_EMS,28,20,0.5750000000000002
10,coex_SMU,22,20,0.36720779220779187
11,coex_ARG,29,23,0.06593818475377677
12,coex_TST,33,30,-0.0993506493506493
13,coex_PIT,31,33,0.0773307673509287
14,coex_LVR,31,34,0.0904466501240695
15,coex_THY,28,22,1.0419372294372296
16,coex_PNC,30,25,0.5512121212121213
17,coex_ATC,32,16,0.14044769503546117
18,coex_BRO,33,35,0.17084888059701497
19,coex_SKN,33,28,0.1456569746043428
20,coex_ADS,29,25,0.45481481481481456
21,coex_GEJ,33,20,0.42941176470588216
22,coex_BRB,28,33,-0.10567915690866525
23,coex_UTR,26,17,0.6509615384615381
24,coex_STM,34,35,0.2647058823529411
25,coex_HRA,30,27,0.6572390572390572
26,coex_PRS,31,23,0.10023041474654404
27,coex_ATA,28,22,0.2596103896103896
28,coex_FIB,27,16,0.5140018066847334
29,coex_BRC,28,32,0.3107142857142855
30,coex_ATT,28,24,-0.14069264069264031
31,coex_TNV,17,24,0.3223039215686274
32,coex_SPL,30,23,0.07703962703962697
33,coex_LCL,23,15,0.10026737967914445
34,coex_CLS,32,32,-0.14479166666666643
35,coex_EMC,30,27,0.3286549707602342
36,coex_CLT,30,30,0.11486042692939225
37,coex_core,35,36,0.191977225672878
38,coex_WBL,31,27,0.8834182229767968
39,co-essential,9,5,-0.411111111111111
40,GOBP,18,14,0.8289423076923077
41,ppi,50,50,0.0
42,reactome_copathway,25,21,-0.07060810810810803
43,MP,16,10,-0.03611111111111143
44,HP,16,20,0.12638888888888888
45,GI_net,21,13,-0.551174315880198
46,gene_gene_on_CbG_name_mapped,13,23,-0.037160906726124265
47,gene_gene_on_GcG_name_mapped,36,37,-0.16359681599407638
48,GOMF,5,3,
