,Layer,Pityriasis_rubra_pilaris nodes,Laryngeal_edema nodes,sAB
0,coex_KDN,37,48,0.1642256226815051
1,coex_BST,28,32,0.1206896551724137
2,coex_OVR,32,37,0.08703608499804183
3,coex_LNG,32,42,0.5146195302445302
4,coex_ITI,31,43,0.030433283996674776
5,coex_VGN,30,45,0.1266666666666667
6,coex_HRV,16,30,0.6466485507246376
7,coex_MSG,36,48,0.03273809523809512
8,coex_ADV,33,31,0.3416666666666668
9,coex_EMS,28,39,0.48205741626794274
10,coex_SMU,22,40,-0.019831378299120184
11,coex_ARG,29,34,0.5274477607134807
12,coex_TST,33,46,0.06467954170210621
13,coex_PIT,31,44,0.07337243401759541
14,coex_LVR,31,40,0.1938323489323035
15,coex_THY,28,38,0.7613351560719983
16,coex_PNC,30,41,0.3536642619947328
17,coex_ATC,32,39,0.25777017876489694
18,coex_BRO,33,42,0.11182834620334603
19,coex_SKN,33,47,0.34705029013539646
20,coex_ADS,29,34,0.9098972922502333
21,coex_GEJ,33,38,0.5659777424483305
22,coex_BRB,28,31,0.13312807881773425
23,coex_UTR,26,25,0.3092948717948718
24,coex_STM,34,44,0.2810743178390236
25,coex_HRA,30,41,0.3688423222260391
26,coex_PRS,31,34,0.13533060867026703
27,coex_ATA,28,39,0.3646738833306
28,coex_FIB,27,36,0.5052910052910056
29,coex_BRC,28,42,0.04761904761904745
30,coex_ATT,28,39,0.2976532174293367
31,coex_TNV,17,26,1.4700916013685026
32,coex_SPL,30,45,0.07111111111111112
33,coex_LCL,23,19,0.07462635403811868
34,coex_CLS,32,44,0.26823158914728706
35,coex_EMC,30,41,0.4828352227184247
36,coex_CLT,30,46,0.1745232646834478
37,coex_core,35,46,0.46405183651560455
38,coex_WBL,31,34,0.4541453802364619
39,co-essential,9,8,0.6517094017094016
40,GOBP,18,18,1.2590277777777774
41,ppi,50,50,0.19999999999999996
42,reactome_copathway,25,11,0.7650862068965516
43,MP,16,14,0.294827586206897
44,HP,16,21,0.3715411840411842
45,GI_net,21,13,0.392264598146951
46,gene_gene_on_CbG_name_mapped,13,7,0.013736263736263687
47,gene_gene_on_GcG_name_mapped,36,31,-0.0045137217140105435
48,GOMF,5,3,
