,Layer,Preeclampsia nodes,Essential_tremor nodes,sAB
0,coex_KDN,46,38,0.11457992808107242
1,coex_BST,28,30,0.5048821548821549
2,coex_OVR,33,29,0.015464994775340024
3,coex_LNG,29,30,0.35532826806935525
4,coex_ITI,37,38,0.25146514935988606
5,coex_VGN,32,38,0.2371710526315789
6,coex_HRV,34,15,0.08839535814325705
7,coex_MSG,43,35,0.20902121134679263
8,coex_ADV,31,26,0.4125419006573505
9,coex_EMS,28,26,0.3794261294261294
10,coex_SMU,25,25,0.3282312925170068
11,coex_ARG,22,29,0.5782922824302135
12,coex_TST,38,37,0.19827880512091034
13,coex_PIT,39,30,0.2843924191750278
14,coex_LVR,33,30,0.2940884252359661
15,coex_THY,33,31,0.2680955843469066
16,coex_PNC,33,30,-0.011962365591398072
17,coex_ATC,29,31,0.540103253458017
18,coex_BRO,36,43,0.7668203970823928
19,coex_SKN,33,30,0.36479076479076467
20,coex_ADS,34,24,0.15890522875817004
21,coex_GEJ,27,30,0.4501443001443004
22,coex_BRB,36,26,0.6782120209539566
23,coex_UTR,17,24,0.2543859649122808
24,coex_STM,30,37,0.2393707139975796
25,coex_HRA,30,31,0.4721279003961518
26,coex_PRS,26,28,0.2921245421245424
27,coex_ATA,31,25,0.293459119496855
28,coex_FIB,21,27,0.13504728132387722
29,coex_BRC,26,41,0.5353042479908152
30,coex_ATT,29,32,0.16494252873563253
31,coex_TNV,31,21,0.9866946778711485
32,coex_SPL,27,30,0.297270955165692
33,coex_LCL,10,20,0.37142857142857144
34,coex_CLS,31,37,0.6387122416534181
35,coex_EMC,30,30,0.25
36,coex_CLT,33,37,0.22215397215397203
37,coex_core,37,37,0.34251203258052554
38,coex_WBL,25,27,0.09935897435897445
39,co-essential,3,12,0.7439393939393937
40,GOBP,14,16,0.7928571428571431
41,ppi,49,49,0.346938775510204
42,reactome_copathway,20,11,0.7150505050505052
43,MP,12,16,1.8054626532887408
44,HP,21,18,0.5882173382173379
45,GI_net,13,20,0.2135278514588861
46,gene_gene_on_CbG_name_mapped,19,9,0.10192147034252286
47,gene_gene_on_GcG_name_mapped,27,29,0.1935322021528918
48,GOMF,10,0,
